,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_the,ans_prob_obs_edit_subject_be,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_a,ans_prob_obs_edit_subject_of,ans_prob_obs_edit_subject_to,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_i,ans_prob_obs_edit_subject_you,ans_prob_obs_edit_subject_it,ans_prob_obs_edit_subject_have,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_do,ans_prob_obs_edit_subject_he,ans_prob_obs_edit_subject_with,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_this,ans_prob_obs_edit_subject_n't,ans_prob_obs_edit_subject_we,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_they,ans_prob_obs_edit_subject_say,ans_prob_obs_edit_subject_at,ans_prob_obs_edit_subject_what,ans_prob_obs_edit_subject_his,ans_prob_obs_edit_subject_from,ans_prob_obs_edit_subject_go,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_by,ans_prob_obs_edit_subject_get,ans_prob_obs_edit_subject_she,ans_prob_obs_edit_subject_my,ans_prob_obs_edit_subject_can,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_know,ans_prob_obs_edit_subject_if
17,Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,0.17630963027477264,0.047272179275751114,0.06018240377306938,0.06450534611940384,0.05313171446323395,0.05888668820261955,0.05599886178970337,0.08480646461248398,0.06912150979042053,0.056772924959659576,0.05530603975057602,0.07061972469091415,0.05449725314974785,0.05530781298875809,0.05626877397298813,0.03733145818114281,0.05822271481156349,0.06096642464399338,0.06721842288970947,0.05853014066815376,0.060699742287397385,0.06488969177007675,0.05492328852415085,0.055290527641773224,0.03748051077127457,0.03871985897421837,0.07869041711091995,0.048458606004714966,0.06304305791854858,0.03927897661924362,0.04222440719604492,0.06064865365624428,0.042452383786439896,0.050335269421339035,0.04875432699918747,0.06704020500183105,0.04151879623532295,0.05609440803527832,0.04295864328742027,0.07066679000854492
18,Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,0.5730769634246826,0.6139867901802063,0.6570271253585815,0.6463668942451477,0.8007554411888123,0.7524109482765198,0.7515828013420105,0.7510692477226257,0.655486524105072,0.7427125573158264,0.5298665165901184,0.6705690622329712,0.6503046154975891,0.6563849449157715,0.6917381286621094,0.594775378704071,0.7130328416824341,0.7861199378967285,0.6973915100097656,0.6574352383613586,0.6951864361763,0.6826543211936951,0.6654906272888184,0.6559343338012695,0.7025007009506226,0.6288392543792725,0.712547779083252,0.5957120060920715,0.689353883266449,0.7123628258705139,0.5990567207336426,0.7904108762741089,0.6840060353279114,0.582465410232544,0.7321504950523376,0.6870527863502502,0.7014104723930359,0.7406520247459412,0.6176775097846985,0.6239427924156189
19,Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,0.252818763256073,0.2651621997356415,0.2470666468143463,0.16396045684814453,0.20045875012874603,0.20359665155410767,0.21620593965053558,0.2072487622499466,0.1719943732023239,0.21239697933197021,0.14418989419937134,0.1895139366388321,0.2554011940956116,0.23141531646251678,0.2120651751756668,0.19547614455223083,0.23334112763404846,0.12942291796207428,0.22120779752731323,0.26476532220840454,0.11562895774841309,0.22556206583976746,0.2506692707538605,0.2244459092617035,0.14436759054660797,0.09576123207807541,0.22182509303092957,0.1756718009710312,0.29187557101249695,0.19436870515346527,0.16901864111423492,0.20330198109149933,0.22912509739398956,0.2239857316017151,0.1509685516357422,0.22020193934440613,0.2605321705341339,0.2087807059288025,0.27190864086151123,0.13204894959926605
20,James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,0.055993277579545975,0.07543729990720749,0.05488128587603569,0.04474647715687752,0.06736963242292404,0.04630305618047714,0.06355495750904083,0.06256348639726639,0.07317858189344406,0.05399629846215248,0.07252438366413116,0.044449832290410995,0.0546405129134655,0.07064887881278992,0.0474553257226944,0.06537675112485886,0.06295258551836014,0.06634943187236786,0.06665276736021042,0.05288705229759216,0.041855040937662125,0.05380798876285553,0.06123039871454239,0.06408004462718964,0.04821266606450081,0.05023864656686783,0.0664273351430893,0.04688498377799988,0.05818002671003342,0.05842779949307442,0.056248247623443604,0.07345596700906754,0.07972732931375504,0.04274643212556839,0.06865614652633667,0.06686447560787201,0.06267257034778595,0.0635228306055069,0.06116875633597374,0.049241576343774796
21,Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,0.0007610786124132574,0.0002456888905726373,0.0003099521272815764,0.00022852298570796847,0.0002628798538353294,0.0002361157676205039,0.00021798153466079384,0.0001723996683722362,0.0002899793616961688,0.0002265886141685769,0.00015968256047926843,0.00012276363850105554,0.0002728233521338552,0.00020687088544946164,0.00021296499471645802,0.0002033198979916051,0.0004330138908699155,0.00021453826047945768,0.0002705385850276798,0.00016134111501742154,0.00023790208797436208,0.0005004731938242912,0.00022241668193601072,0.0005049700266681612,0.00013740498980041593,0.00011348286352586001,0.00015392413479276001,0.00027223388315178454,0.00013010350812692195,0.00028247979935258627,0.0002114470407832414,0.00015061553858686239,0.00020397217303980142,0.000284755282336846,0.00019676651572808623,0.0001833489368436858,0.00033450001501478255,0.00012566697841975838,0.00023061205865815282,0.0001807514054235071
22,Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,0.6204220652580261,0.6671057343482971,0.5922918319702148,0.768231213092804,0.5189477801322937,0.4967750310897827,0.49118977785110474,0.5705126523971558,0.4095551371574402,0.5738714933395386,0.6649413704872131,0.5603480339050293,0.5770169496536255,0.5809829235076904,0.4348977208137512,0.6753538250923157,0.4911944568157196,0.35919544100761414,0.4247135519981384,0.6410158276557922,0.526360273361206,0.6289096474647522,0.6027661561965942,0.7107787728309631,0.6220008134841919,0.6707172393798828,0.41958925127983093,0.6260284185409546,0.5387292504310608,0.5558453798294067,0.6164715886116028,0.5339420437812805,0.5324049592018127,0.526035487651825,0.8416070342063904,0.7058437466621399,0.6728359460830688,0.5006808638572693,0.6575019359588623,0.5965988039970398
23,Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,0.009055799804627895,0.00026560892001725733,0.00014765084779355675,0.00015853311924729496,0.00017769656551536173,0.0002528668846935034,0.0002546230680309236,0.0004927202244289219,0.0002535781532060355,0.00019701026030816138,0.00014481350081041455,0.0001772624091245234,0.0003844156744889915,0.00017454866610933095,0.00021192349959164858,0.0001625847799004987,0.00029860774520784616,0.00012072863319190219,0.00014765917148906738,0.0001768650399753824,0.0001450649870093912,0.0001729308714857325,0.0002615564444568008,0.0005624250625260174,0.00013159810623619705,0.0002943614963442087,0.0001524957624496892,0.0002178696886403486,0.00020720201428048313,0.0002397548669250682,0.00042592096724547446,0.00019396374409552664,0.00011028095468645915,0.00020372455765027553,0.0002868191513698548,0.00015216480824165046,0.00010260368435410783,0.00021188738173805177,0.0001244067243533209,0.0002938178658951074
24,Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,0.7826583981513977,0.784845232963562,0.4195348620414734,0.4042602777481079,0.4047495722770691,0.2370000183582306,0.4296031892299652,0.6364774107933044,0.4859004020690918,0.3201945126056671,0.6172058582305908,0.44440987706184387,0.6775838732719421,0.585885226726532,0.4190514087677002,0.7265015244483948,0.37781399488449097,0.4411398768424988,0.1180512011051178,0.42686671018600464,0.16579784452915192,0.4551870822906494,0.7302444577217102,0.6911125779151917,0.6060084104537964,0.5083755850791931,0.44716018438339233,0.7254476547241211,0.4381788372993469,0.5079596638679504,0.46334120631217957,0.44231167435646057,0.6403322815895081,0.4995197355747223,0.5002268552780151,0.4475643038749695,0.3590456545352936,0.3575672507286072,0.7522755265235901,0.5864278078079224
25,Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,0.08564883470535278,0.005639840383082628,0.005615826230496168,0.004234143998473883,0.009053393267095089,0.008046830072999,0.00621552299708128,0.0063204895704984665,0.007269856985658407,0.006163453217595816,0.006749019492417574,0.005003343801945448,0.007333667483180761,0.007347099483013153,0.008876875974237919,0.0031951451674103737,0.005801468156278133,0.00814556609839201,0.00789905246347189,0.004753340966999531,0.011133418418467045,0.006608615629374981,0.007260789163410664,0.008364452049136162,0.004989183973520994,0.0014990121126174927,0.0061367531307041645,0.003670735517516732,0.005319599993526936,0.008005527779459953,0.009547221474349499,0.008709754794836044,0.010410976596176624,0.005131594371050596,0.005912442691624165,0.004987463820725679,0.006053899880498648,0.0037478019949048758,0.005042232107371092,0.008322574198246002
26,Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,0.002423867816105485,0.0010892081772908568,0.001005744212307036,0.0009610226261429489,0.0012666905531659722,0.0009551909752190113,0.0023512665648013353,0.0012601251946762204,0.0010510028805583715,0.000697799026966095,0.0015000038547441363,0.0016811324749141932,0.0011309703113511205,0.0015230468707159162,0.0011985164601355791,0.0018666471587494016,0.0011165384203195572,0.0018412504578009248,0.0010459612822160125,0.000805758754722774,0.0012059471337124705,0.0015413254732266068,0.0008593632956035435,0.0009848190238699317,0.0015679839998483658,0.0005651706014759839,0.0011326414532959461,0.0011885350104421377,0.0004689848283305764,0.0014421206433326006,0.0008080615079961717,0.0007507105474360287,0.0006448387866839767,0.001579981530085206,0.0005940201808698475,0.0007469964912161231,0.0009029654902406037,0.0006248630816116929,0.0019802504684776068,0.0008047906449064612
27,Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,0.13000571727752686,0.001722118817269802,0.001404929207637906,0.0012913931859657168,0.002777736634016037,0.0025836285203695297,0.0033228937536478043,0.0035621037241071463,0.0024514964316040277,0.002217525616288185,0.001433547236956656,0.003872103290632367,0.00551436934620142,0.002535781357437372,0.002243748167529702,0.003182271495461464,0.0030881897546350956,0.002823453862220049,0.0027081884909421206,0.0019467223901301622,0.0011971903732046485,0.003089527366682887,0.0030951823573559523,0.002464297227561474,0.002122752135619521,0.003260443452745676,0.00243059522472322,0.001982330111786723,0.0024686986580491066,0.0021068162750452757,0.003088138299062848,0.0032035422045737505,0.0028715075459331274,0.004366838838905096,0.0024058243725448847,0.0019957534968852997,0.001326964469626546,0.002276130486279726,0.004064595326781273,0.0030389386229217052
28,The largest university in Ohio is called The,The largest university in the Buckeye State is called The,Ohio,The Buckeye State, Ohio State University,0.7445741891860962,0.8675699830055237,0.8459063768386841,0.7485771775245667,0.8522704243659973,0.8434619903564453,0.8052686452865601,0.8035460114479065,0.7888913750648499,0.7743479609489441,0.8695047497749329,0.8639585375785828,0.7679377794265747,0.8044611811637878,0.8146851062774658,0.6834327578544617,0.7130150198936462,0.8374181985855103,0.7981255054473877,0.8892188668251038,0.7884374856948853,0.71759432554245,0.9064946174621582,0.7554666996002197,0.7948489189147949,0.8627080321311951,0.8716516494750977,0.8588628768920898,0.8282024264335632,0.7851817011833191,0.6374587416648865,0.8426211476325989,0.6982561349868774,0.7528241872787476,0.9183117747306824,0.7966271638870239,0.7822379469871521,0.8332769870758057,0.8174278140068054,0.7499105334281921
