,prompt,layer,head,head_output,model
8,George Washington fought in the,5,8,"[ 3.7721353   3.7013574   3.3794973  ... -0.60435134 -0.04444969
  3.5582485 ]",gpt2-small
9,George Washington fought in the,5,9,[3.005179   4.733003   2.7376952  ... 0.9980066  0.08270556 4.3083467 ],gpt2-small
10,George Washington fought in the,5,10,[ 3.9045236  4.789434   3.0472372 ... -1.4726784 -1.1358376  3.0467143],gpt2-small
11,George Washington fought in the,5,11,"[ 3.4041328   3.5118113   1.3842276  ... -0.11180329 -1.1571965
  5.0016303 ]",gpt2-small
0,George Washington fought in the,6,0,[ 3.3962317  3.833426   2.1422856 ... -2.1456695  0.1094228  2.8559458],gpt2-small
1,George Washington fought in the,6,1,[ 4.3314567  4.482579   1.7054676 ... -0.5653103 -0.2560917  4.662141 ],gpt2-small
2,George Washington fought in the,6,2,"[ 3.5598557   5.5737166   1.3985069  ... -0.81183946 -0.29017067
  3.9714367 ]",gpt2-small
3,George Washington fought in the,6,3,[ 3.7501948  4.3331213  2.326986  ... -1.1070589 -1.2015815  4.9573517],gpt2-small
4,George Washington fought in the,6,4,[ 4.8246474  4.3916793  1.3509678 ... -0.6763672 -0.9212947  2.3212304],gpt2-small
5,George Washington fought in the,6,5,"[ 3.8691723   4.3290606   1.777481   ... -0.96550786 -1.3680776
  4.473879  ]",gpt2-small
6,George Washington fought in the,6,6,"[ 2.793121    3.4909286   1.8546202  ... -0.3815403  -0.32778016
  3.3343527 ]",gpt2-small
7,George Washington fought in the,6,7,[ 4.0866346  4.379984   3.4958193 ... -1.6559725 -1.4857596  4.062426 ],gpt2-small
8,George Washington fought in the,6,8,[2.8483405  3.4993596  2.9290104  ... 0.09806228 0.4702251  3.8092039 ],gpt2-small
9,George Washington fought in the,6,9,[ 4.881626   4.758376   2.720996  ... -1.1412311 -0.6543003  4.9702964],gpt2-small
10,George Washington fought in the,6,10,"[ 3.728232    4.1262136   2.522492   ... -0.31259304 -0.27501112
  4.644599  ]",gpt2-small
11,George Washington fought in the,6,11,[ 3.9542146  4.595423   2.228659  ... -0.8318086 -0.6617029  3.9557757],gpt2-small
0,George Washington fought in the,7,0,"[ 4.0179954   4.691993    2.8817432  ... -0.987871   -0.63070583
  3.3963304 ]",gpt2-small
1,George Washington fought in the,7,1,[ 3.9470322  4.4304066  2.2794514 ... -0.4988498 -0.9615476  3.7472324],gpt2-small
2,George Washington fought in the,7,2,"[ 3.6136801   3.8709106   1.7829473  ... -0.9922231  -0.58396816
  4.231047  ]",gpt2-small
3,George Washington fought in the,7,3,[ 4.85088    5.6837807  2.1683676 ... -1.2554293 -1.1393304  3.216329 ],gpt2-small
4,George Washington fought in the,7,4,"[ 3.7203982   4.2638416   1.897168   ... -0.75201184 -0.1949552
  4.9780374 ]",gpt2-small
5,George Washington fought in the,7,5,"[ 3.9319527   3.9289305   2.8184845  ... -0.22043389 -1.230894
  3.7487059 ]",gpt2-small
6,George Washington fought in the,7,6,[ 4.60074    4.555072   2.506339  ...  0.0537129 -1.3717712  4.0768895],gpt2-small
7,George Washington fought in the,7,7,"[ 3.2418869   3.705752    1.6467173  ... -0.65114635 -0.6221464
  4.2479177 ]",gpt2-small
8,George Washington fought in the,7,8,[ 4.8583937  4.930648   3.3035183 ... -2.0781853 -0.2863124  5.01645  ],gpt2-small
9,George Washington fought in the,7,9,[ 2.834312   3.771011   0.6636903 ... -0.7719027 -0.7799003  4.632865 ],gpt2-small
10,George Washington fought in the,7,10,[ 4.563933   4.247359   2.331663  ... -1.2097068 -1.1670489  4.17752  ],gpt2-small
11,George Washington fought in the,7,11,"[ 4.7148323   4.3989954   2.3822703  ... -0.6339084  -0.08974338
  4.2266545 ]",gpt2-small
0,George Washington fought in the,8,0,"[ 2.974381    4.3433247   2.3300896  ... -0.10436535 -0.91116476
  2.984644  ]",gpt2-small
1,George Washington fought in the,8,1,"[ 4.5200157   4.6239753   1.9633741  ... -0.70807517 -0.32804987
  4.553109  ]",gpt2-small
2,George Washington fought in the,8,2,"[ 3.5417745   4.58451     1.2398405  ... -0.47035068 -0.8057309
  4.434947  ]",gpt2-small
3,George Washington fought in the,8,3,[ 2.9966085  3.17284    1.3907576 ... -1.1950482 -0.8773581  4.324631 ],gpt2-small
4,George Washington fought in the,8,4,[ 6.6709347  4.928104   1.9330465 ... -1.7841033 -1.8152375  5.3049974],gpt2-small
5,George Washington fought in the,8,5,"[ 5.1653776   2.6227055   0.72146463 ... -0.64246094 -0.05519205
  3.583424  ]",gpt2-small
6,George Washington fought in the,8,6,"[ 4.3224854   4.4454074   2.3543622  ... -0.63724226  0.0368582
  4.2617593 ]",gpt2-small
7,George Washington fought in the,8,7,"[ 5.1478915   3.3887157   2.9099715  ... -4.4636803  -0.17349672
  4.9107113 ]",gpt2-small
8,George Washington fought in the,8,8,"[ 4.1045494   4.2502093   2.3840952  ... -0.96676564 -1.1775663
  4.3448553 ]",gpt2-small
9,George Washington fought in the,8,9,[ 4.0661116  5.041111   2.4916186 ... -0.8989601  0.4218241  4.2917824],gpt2-small
10,George Washington fought in the,8,10,[ 3.5077586  4.5199213  3.5648236 ... -2.2349198 -2.970069   4.143866 ],gpt2-small
11,George Washington fought in the,8,11,[ 4.051367   4.115241   1.4499885 ... -1.5280623  0.2903278  4.189355 ],gpt2-small
0,George Washington fought in the,9,0,"[ 4.078477    4.389334    1.7403872  ... -1.3318338  -0.09565997
  3.9547138 ]",gpt2-small
1,George Washington fought in the,9,1,"[ 4.5418243   4.4193907   2.7538004  ... -0.5384417  -0.14474067
  4.9539037 ]",gpt2-small
2,George Washington fought in the,9,2,"[ 4.636009    4.303811    1.9193509  ... -0.28099108 -1.9187505
  4.704965  ]",gpt2-small
3,George Washington fought in the,9,3,"[ 6.93291     2.4049811   2.1377184  ...  0.64331305 -1.2423916
  3.9939299 ]",gpt2-small
4,George Washington fought in the,9,4,[ 4.0072165  2.5993366  1.5634079 ... -1.028338  -0.3905328  5.3594894],gpt2-small
5,George Washington fought in the,9,5,"[ 4.1086593   5.370223    3.4121494  ... -2.358152   -0.24073413
  3.184204  ]",gpt2-small
6,George Washington fought in the,9,6,"[ 3.5667381   3.7541223   1.5579139  ... -0.95614105 -1.3245052
  3.6530275 ]",gpt2-small
7,George Washington fought in the,9,7,[4.5732393  4.4164677  1.9099857  ... 0.96559787 0.23147774 3.5077338 ],gpt2-small
8,George Washington fought in the,9,8,"[ 4.4907904   4.9059963   4.942114   ... -0.08648103  0.9946084
  3.8943782 ]",gpt2-small
9,George Washington fought in the,9,9,"[ 3.9722102   4.0954137   2.5696285  ... -2.1845303  -0.72019655
  4.4971213 ]",gpt2-small
10,George Washington fought in the,9,10,"[ 3.4572783   3.363604    1.3255479  ...  0.7024312  -0.06669581
  3.5053287 ]",gpt2-small
11,George Washington fought in the,9,11,"[ 4.3994393   3.881235    0.8025458  ... -0.69103    -0.23327142
  4.028696  ]",gpt2-small
0,George Washington fought in the,10,0,"[ 3.6890728   4.4014907   2.6205797  ...  0.16394484 -1.1173888
  4.6068306 ]",gpt2-small
1,George Washington fought in the,10,1,"[ 4.56055     4.0126433   1.987971   ... -0.4886555  -0.14224145
  4.6417975 ]",gpt2-small
2,George Washington fought in the,10,2,"[ 4.4131064   4.926302   -0.34868526 ... -0.3397112   0.411031
  4.31862   ]",gpt2-small
3,George Washington fought in the,10,3,"[ 4.2060223   5.2174788   2.7679963  ... -0.92093515 -0.295343
  4.27172   ]",gpt2-small
4,George Washington fought in the,10,4,"[ 4.655082   -0.05175591  1.8391584  ... -0.8878785  -0.64527744
  1.9130166 ]",gpt2-small
5,George Washington fought in the,10,5,"[ 4.5306287   4.080798    1.9541137  ... -0.33317834 -0.5601281
  4.2969294 ]",gpt2-small
6,George Washington fought in the,10,6,[ 3.88241    4.634791   1.6940529 ... -3.1646523  1.225204   4.5993958],gpt2-small
7,George Washington fought in the,10,7,[ 2.8731937  5.1897917  4.152264  ...  1.3412933 -3.8740878  3.6868346],gpt2-small
8,George Washington fought in the,10,8,[ 3.30653    3.631696   1.8436174 ... -0.8573663 -0.7203362  3.9402149],gpt2-small
9,George Washington fought in the,10,9,"[ 4.530848    3.91693     1.4425449  ...  0.01225281 -0.9809058
  4.110404  ]",gpt2-small
10,George Washington fought in the,10,10,[ 4.0881     4.074332   2.3117614 ... -1.7002293 -1.4122626  3.9254491],gpt2-small
11,George Washington fought in the,10,11,[ 5.5474257  3.5959327  1.6527948 ... -2.7374828 -1.1686329  4.8640227],gpt2-small
0,George Washington fought in the,11,0,[ 5.181494   3.768761   2.3638628 ... -0.9871039  3.293542   0.5017371],gpt2-small
1,George Washington fought in the,11,1,[ 4.2617145  4.192038   1.4645069 ... -1.5573329 -1.2004461  5.2912607],gpt2-small
2,George Washington fought in the,11,2,"[ 4.9745364   4.9878507   3.4296236  ... -1.6156824   0.23155963
  5.9310775 ]",gpt2-small
3,George Washington fought in the,11,3,[ 3.9721498  4.1135497  2.2056699 ... -1.602363  -0.8752594  4.5226593],gpt2-small
4,George Washington fought in the,11,4,"[ 2.639216    1.5859773  -0.3582387  ... -0.88405913 -0.5872948
  1.4072859 ]",gpt2-small
5,George Washington fought in the,11,5,"[ 3.4056017   3.9999194   1.7252166  ... -0.69310105 -0.38367486
  3.5369322 ]",gpt2-small
6,George Washington fought in the,11,6,"[ 3.9797537   4.5102124   2.3410108  ... -0.47672817 -0.20840937
  4.626241  ]",gpt2-small
7,George Washington fought in the,11,7,"[ 2.8551822   3.9460242   2.874633   ... -0.6545154  -0.08213222
  4.0447297 ]",gpt2-small
8,George Washington fought in the,11,8,[ 7.478192   6.4348392  0.6214206 ... -5.1550207 -2.2623441 12.926844 ],gpt2-small
9,George Washington fought in the,11,9,"[ 4.860813    4.903286    2.610484   ... -2.0643892  -0.29908442
  4.613397  ]",gpt2-small
10,George Washington fought in the,11,10,"[ 3.9068186   3.6946526   0.62810445 ...  0.48734725 -0.7398836
  3.8417184 ]",gpt2-small
11,George Washington fought in the,11,11,[ 3.8858426  3.8836896  2.1933727 ...  0.384017  -1.2556368  5.051247 ],gpt2-small
0,The president lives in the,0,0,"[ 3.4816446   4.0921683   1.6949782  ...  0.31266534 -0.04117894
  3.4777904 ]",gpt2-small
1,The president lives in the,0,1,"[ 0.99116373  2.2542408   0.78639054 ... -1.9228821  -1.6905872
  2.0792289 ]",gpt2-small
2,The president lives in the,0,2,[ 5.0028768  5.141281   2.3854902 ... -0.3248098 -0.6536469  4.6598306],gpt2-small
3,The president lives in the,0,3,"[ 3.1176653   3.5387938   0.8578993  ... -0.8591247   0.05243033
  3.21765   ]",gpt2-small
4,The president lives in the,0,4,[ 3.8927763  3.995972   2.5626578 ... -1.1283578 -1.1830027  4.4594646],gpt2-small
5,The president lives in the,0,5,"[ 2.6582122   3.3561492   1.0928757  ...  0.17448461 -0.09923524
  4.6206064 ]",gpt2-small
6,The president lives in the,0,6,[ 3.9508164  3.460915   1.9129491 ...  2.7492666 -1.8291874  4.4066644],gpt2-small
7,The president lives in the,0,7,[ 2.906971   3.3585987  1.7980096 ... -2.7835164 -1.2023888  3.7469532],gpt2-small
8,The president lives in the,0,8,"[ 3.6894696   5.089051    1.7342025  ... -3.128985    0.31172073
  3.5139747 ]",gpt2-small
9,The president lives in the,0,9,[ 1.8375111  3.3806343  2.3229055 ... -1.8325789  3.647379   1.1427472],gpt2-small
10,The president lives in the,0,10,"[ 5.008077    4.177263    2.418355   ... -1.0112833  -0.05221778
  4.038827  ]",gpt2-small
11,The president lives in the,0,11,"[ 2.9789228   5.6667194   3.9452348  ... -0.46811324 -1.9389865
  2.4017577 ]",gpt2-small
0,The president lives in the,1,0,[ 3.9522169  3.6839     1.8798791 ... -1.514627  -0.6861968  3.832893 ],gpt2-small
1,The president lives in the,1,1,[ 3.8705235  4.1344614  1.6829996 ... -2.0141408 -0.9411063  3.0140638],gpt2-small
2,The president lives in the,1,2,[ 2.9584606  2.4794965  2.299984  ... -0.668074   1.1398697  3.065173 ],gpt2-small
3,The president lives in the,1,3,"[ 4.728756    5.1830244   3.3896854  ... -0.8274429   0.50727594
  4.5426626 ]",gpt2-small
4,The president lives in the,1,4,"[ 3.4047642   4.5192723   2.1165955  ... -0.68990195 -1.6662322
  4.279669  ]",gpt2-small
5,The president lives in the,1,5,"[ 3.864854    1.2410917   0.74991834 ... -0.28715944  0.8183
  3.7794538 ]",gpt2-small
6,The president lives in the,1,6,"[ 2.4978647   3.8876824   2.0464246  ...  0.06661153 -1.2652099
  4.377676  ]",gpt2-small
7,The president lives in the,1,7,"[ 4.1832805   7.483956    2.21624    ... -1.3354921   0.28930736
  2.8935316 ]",gpt2-small
8,The president lives in the,1,8,[ 4.624174   5.291988   2.41307   ... -1.1654676 -1.4901712  3.8598177],gpt2-small
9,The president lives in the,1,9,[ 3.4250906  4.3290343  1.966399  ... -1.4084945 -0.4656953  3.7167003],gpt2-small
10,The president lives in the,1,10,"[ 1.9348493   2.4781106   1.2505481  ... -0.5858279   0.72725797
  3.5932326 ]",gpt2-small
11,The president lives in the,1,11,"[ 2.9222803   4.181807    2.6945837  ... -0.64768684 -2.0275412
  4.7898865 ]",gpt2-small
0,The president lives in the,2,0,"[ 5.594418    4.601745    1.5430429  ... -2.0373523   0.36554784
  5.4993763 ]",gpt2-small
1,The president lives in the,2,1,"[ 3.9496567   4.377555    2.1441684  ... -0.9472273  -0.51947737
  4.315556  ]",gpt2-small
2,The president lives in the,2,2,"[ 4.3717113   3.829131    1.8725598  ... -0.99757063 -1.1315594
  3.682694  ]",gpt2-small
3,The president lives in the,2,3,[ 3.3760438  2.8548484  3.2060823 ... -0.6751033 -1.6600717  4.5882688],gpt2-small
4,The president lives in the,2,4,[ 4.750965   4.7214947  2.8353796 ... -1.0238237 -0.577857   5.030059 ],gpt2-small
5,The president lives in the,2,5,"[ 4.5349536   4.8593254   1.2704906  ... -0.27332926 -0.49248686
  5.1445017 ]",gpt2-small
6,The president lives in the,2,6,"[ 3.1222644   4.580536    1.2913499  ... -0.93373924 -0.85273737
  3.4532382 ]",gpt2-small
7,The president lives in the,2,7,"[ 4.572567    4.89721     3.438459   ... -1.3572525  -0.41979694
  4.126242  ]",gpt2-small
8,The president lives in the,2,8,[ 3.2781825  3.5249481  0.5230174 ... -1.8584046 -0.3051833  4.202649 ],gpt2-small
9,The president lives in the,2,9,[3.929693   4.3288236  3.1237645  ... 0.29345536 0.38282502 2.5334268 ],gpt2-small
10,The president lives in the,2,10,[ 2.8245015  2.4140842  2.274396  ...  1.0575757 -1.8519297  1.7159095],gpt2-small
11,The president lives in the,2,11,"[ 4.130528    4.4485054   1.3852917  ... -1.2556671  -0.20175463
  4.946506  ]",gpt2-small
0,The president lives in the,3,0,[ 4.1078005  3.823243   1.2086532 ... -1.5551345 -1.6901253  4.0141377],gpt2-small
1,The president lives in the,3,1,[ 3.2745483  2.9241924  2.0746014 ... -0.5505531 -1.1877353  4.275872 ],gpt2-small
2,The president lives in the,3,2,"[ 3.8305674   3.8072755   3.243846   ... -1.0080758  -0.08165878
  4.335985  ]",gpt2-small
3,The president lives in the,3,3,[ 4.705987   4.4524174  1.5701904 ... -0.6159144 -1.8317313  5.0273886],gpt2-small
4,The president lives in the,3,4,[ 3.716615   5.1008935  3.1659338 ... -0.5648775  0.3479017  4.45384  ],gpt2-small
5,The president lives in the,3,5,[ 3.5572453  4.262592   2.30251   ... -1.5002965 -0.8348696  4.39334  ],gpt2-small
6,The president lives in the,3,6,"[ 4.388655    4.5838695   2.07489    ... -0.21053898  0.05686522
  4.2439175 ]",gpt2-small
7,The president lives in the,3,7,"[ 3.0435734   3.8762128   3.2350845  ... -0.42639917 -0.07820278
  2.953362  ]",gpt2-small
8,The president lives in the,3,8,"[ 4.491817    4.50878     1.1476417  ... -1.7154986  -0.49161714
  4.345844  ]",gpt2-small
9,The president lives in the,3,9,"[ 4.973659    3.7652802   0.19788599 ... -1.7241448  -0.574613
  6.3710423 ]",gpt2-small
10,The president lives in the,3,10,"[ 3.6015105   4.2367587   1.584596   ...  0.3122816  -0.32494125
  3.5425766 ]",gpt2-small
11,The president lives in the,3,11,[ 4.5762644  4.1147504  1.6548504 ... -0.3739714 -1.3872626  4.456891 ],gpt2-small
0,The president lives in the,4,0,[ 4.46909    4.07402    1.8932428 ... -2.2678304 -0.7747619  5.8511877],gpt2-small
1,The president lives in the,4,1,"[ 4.241637    4.203487    1.9017694  ... -0.4914151  -0.83424234
  4.2299824 ]",gpt2-small
2,The president lives in the,4,2,"[ 4.193594    3.8281744   2.141021   ... -1.1652792  -0.64007413
  4.3896995 ]",gpt2-small
3,The president lives in the,4,3,"[ 4.129746    4.458459    2.7400439  ... -1.4117675   0.34497213
  4.068403  ]",gpt2-small
4,The president lives in the,4,4,"[ 3.891564    3.8121858   2.1289895  ... -0.48042405 -1.2123382
  4.341727  ]",gpt2-small
5,The president lives in the,4,5,[ 3.893313   3.7355995  2.5398018 ... -0.2205568 -0.891256   4.5717916],gpt2-small
6,The president lives in the,4,6,"[ 4.9496894   5.0345902   1.6107489  ... -0.17636895 -0.54259986
  3.9625983 ]",gpt2-small
7,The president lives in the,4,7,"[ 1.4063778   3.4601035   0.42902613 ... -0.09059805 -0.87179846
  3.3533473 ]",gpt2-small
8,The president lives in the,4,8,"[ 3.9123123   3.811882    2.442157   ... -0.39414757 -0.53490263
  4.3929586 ]",gpt2-small
9,The president lives in the,4,9,[ 4.3853106  3.6551268  2.040398  ... -1.5786988 -0.5842538  4.6232243],gpt2-small
10,The president lives in the,4,10,"[ 4.409017    4.4900036   2.2535033  ... -0.89627594 -0.9997923
  4.2748566 ]",gpt2-small
11,The president lives in the,4,11,"[ 3.992759    3.856583    2.4765944  ... -0.42998242 -0.6354689
  3.5602708 ]",gpt2-small
0,The president lives in the,5,0,"[ 4.18888     4.0016446   2.1816194  ... -0.6082734  -0.64763004
  4.2969427 ]",gpt2-small
1,The president lives in the,5,1,"[ 4.337115    4.652215    2.4483802  ... -1.8812908  -0.81097305
  4.103697  ]",gpt2-small
2,The president lives in the,5,2,"[ 3.6949444   3.7918494   2.3403978  ... -0.7941462   0.43056786
  4.355502  ]",gpt2-small
3,The president lives in the,5,3,[ 4.013365   3.8873987  2.031126  ... -1.5301769 -1.143722   3.9424627],gpt2-small
4,The president lives in the,5,4,"[ 4.8531046   5.297314    1.8746232  ... -2.2141502  -0.11355084
  3.9582143 ]",gpt2-small
5,The president lives in the,5,5,[ 4.334868   5.0652065  2.4906158 ... -1.9552095 -1.4490466  4.0905256],gpt2-small
6,The president lives in the,5,6,"[ 4.131616    3.9706802   2.4363108  ... -0.7601502  -0.92075616
  3.840014  ]",gpt2-small
