,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_the,ans_prob_obs_edit_subject_be,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_a,ans_prob_obs_edit_subject_of,ans_prob_obs_edit_subject_to,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_i,ans_prob_obs_edit_subject_you,ans_prob_obs_edit_subject_it,ans_prob_obs_edit_subject_have,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_do,ans_prob_obs_edit_subject_he,ans_prob_obs_edit_subject_with,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_this,ans_prob_obs_edit_subject_n't,ans_prob_obs_edit_subject_we,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_they,ans_prob_obs_edit_subject_say,ans_prob_obs_edit_subject_at,ans_prob_obs_edit_subject_what,ans_prob_obs_edit_subject_his,ans_prob_obs_edit_subject_from,ans_prob_obs_edit_subject_go,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_by,ans_prob_obs_edit_subject_get,ans_prob_obs_edit_subject_she,ans_prob_obs_edit_subject_my,ans_prob_obs_edit_subject_can,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_know,ans_prob_obs_edit_subject_if
10,The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.04011977091431618,0.041397012770175934,0.04190580174326897,0.035240694880485535,0.05562777817249298,0.037412408739328384,0.05586649477481842,0.0517897792160511,0.04856507480144501,0.042504675686359406,0.03254735469818115,0.03732992708683014,0.03255927935242653,0.04236317425966263,0.038659460842609406,0.040901120752096176,0.05241488665342331,0.0429120771586895,0.04908369109034538,0.04152000695466995,0.055780306458473206,0.03301958367228508,0.044596992433071136,0.03945399448275566,0.03458571434020996,0.03994092345237732,0.04543323814868927,0.03555015102028847,0.03889983892440796,0.04306507855653763,0.04709435999393463,0.048654232174158096,0.03530644252896309,0.035275500267744064,0.0407087616622448,0.037725258618593216,0.0389525406062603,0.03450854867696762,0.03974587842822075,0.03273845463991165
11,Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,0.6101883053779602,0.44258418679237366,0.42685309052467346,0.43760502338409424,0.4354266822338104,0.3983462452888489,0.31959086656570435,0.36890071630477905,0.41643986105918884,0.3727850019931793,0.3928486406803131,0.33298611640930176,0.4959662854671478,0.4312680959701538,0.3424507677555084,0.4272688031196594,0.4316253662109375,0.408775269985199,0.4789775013923645,0.43081653118133545,0.26898372173309326,0.4847131073474884,0.42130810022354126,0.40663766860961914,0.5043573975563049,0.40791234374046326,0.4340420663356781,0.388443261384964,0.430745393037796,0.3609687089920044,0.3633136749267578,0.35785964131355286,0.3966224193572998,0.4886143207550049,0.39189770817756653,0.41616499423980713,0.4449256658554077,0.35357147455215454,0.5415456891059875,0.3990081250667572
12,Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,0.12126775830984116,0.04642605409026146,0.06088865548372269,0.05487358197569847,0.06304388493299484,0.06456565856933594,0.05082915723323822,0.06494375318288803,0.06213740259408951,0.06643243879079819,0.051478952169418335,0.052360132336616516,0.05786265805363655,0.05513075366616249,0.067057766020298,0.09087562561035156,0.06534560024738312,0.04025804623961449,0.044754963368177414,0.05764003470540047,0.05340869352221489,0.06357789784669876,0.05275881290435791,0.06230927258729935,0.058566637337207794,0.03761038929224014,0.062049709260463715,0.04116654768586159,0.03720317780971527,0.056632790714502335,0.06370731443166733,0.05295971408486366,0.037759166210889816,0.048356495797634125,0.036787088960409164,0.03753124177455902,0.0670037493109703,0.0645354613661766,0.03665356710553169,0.0532788448035717
13,Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,0.10863781720399857,0.05260773003101349,0.045117203146219254,0.052513040602207184,0.04463683068752289,0.04475998133420944,0.04943954572081566,0.05036136507987976,0.0494992658495903,0.06148691102862358,0.040017757564783096,0.04254793003201485,0.04093088209629059,0.052436716854572296,0.04965218901634216,0.037677351385354996,0.04463718459010124,0.05253608524799347,0.046174246817827225,0.055095069110393524,0.05064481496810913,0.051234517246484756,0.054289765655994415,0.04821968451142311,0.0453820638358593,0.04744856804609299,0.042121343314647675,0.058115024119615555,0.05625288933515549,0.05240193009376526,0.046039238572120667,0.04208415374159813,0.04180370643734932,0.04024408385157585,0.04170500114560127,0.051315538585186005,0.05113225057721138,0.05764925107359886,0.055163804441690445,0.04062936455011368
14,California is the most,The bear flag state is the most,California,The bear flag state, populous,0.3760644495487213,0.007380534894764423,0.006830107886344194,0.006135514471679926,0.006592221558094025,0.00596692506223917,0.005281761288642883,0.0053163073025643826,0.004323653876781464,0.006359338294714689,0.004587605129927397,0.00433546444401145,0.007295319810509682,0.00512858759611845,0.0041022286750376225,0.0037023064214736223,0.00750109413638711,0.0046559786424040794,0.0069341822527348995,0.006964216940104961,0.005752968601882458,0.005356567446142435,0.0038584789726883173,0.006188842933624983,0.007507378701120615,0.007403111085295677,0.0059827533550560474,0.004555032588541508,0.006777584087103605,0.005662823561578989,0.005820396821945906,0.007038893643766642,0.007881203666329384,0.0053795031271874905,0.00799212884157896,0.0052225664258003235,0.00552721880376339,0.004598280414938927,0.010508501902222633,0.0058451308868825436
15,California is the most,The golden bear state is the most,California,The golden bear state, populous,0.3760644495487213,0.05738281458616257,0.05367623642086983,0.05329400673508644,0.06172100827097893,0.05101897194981575,0.048026736825704575,0.04546022787690163,0.0405891090631485,0.04967336729168892,0.03702646866440773,0.03845493867993355,0.06540732830762863,0.04568387195467949,0.04116690903902054,0.03342052176594734,0.05618389695882797,0.047054827213287354,0.05369396507740021,0.051786158233881,0.034446340054273605,0.0378105603158474,0.035388264805078506,0.06004040315747261,0.06585229188203812,0.0521450899541378,0.05021633207798004,0.03509466350078583,0.05565556511282921,0.04364524781703949,0.0362604521214962,0.05066397413611412,0.06103969365358353,0.03872747719287872,0.0491279698908329,0.03667004033923149,0.0376884788274765,0.040804143995046616,0.06791815161705017,0.04510468617081642
16,Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,0.5110217332839966,0.3325308859348297,0.3276265859603882,0.33585643768310547,0.34383857250213623,0.36400169134140015,0.34981417655944824,0.2992929220199585,0.31310024857521057,0.36775708198547363,0.3866454064846039,0.36024224758148193,0.3217824399471283,0.3425138592720032,0.35239335894584656,0.3508147597312927,0.42932185530662537,0.3566799759864807,0.30344629287719727,0.3742462396621704,0.37413927912712097,0.38160428404808044,0.32502681016921997,0.36612430214881897,0.4068939983844757,0.3238542079925537,0.3099598288536072,0.380149245262146,0.3342245817184448,0.3063046932220459,0.381582111120224,0.31979289650917053,0.26158279180526733,0.35508057475090027,0.3671911358833313,0.36389511823654175,0.3278981149196625,0.360594242811203,0.3041899502277374,0.395801305770874
17,Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,0.1997496485710144,0.06401986628770828,0.060934990644454956,0.05303070321679115,0.056539181619882584,0.04760623350739479,0.051291558891534805,0.06448403000831604,0.05567007139325142,0.054292671382427216,0.041988953948020935,0.057320065796375275,0.056053098291158676,0.06573464721441269,0.051143381744623184,0.041301876306533813,0.06171996518969536,0.05357874929904938,0.06055833399295807,0.05642804130911827,0.06825938820838928,0.04574260115623474,0.05499487742781639,0.05949602648615837,0.05855509266257286,0.04771306738257408,0.06133584678173065,0.062117550522089005,0.07252123206853867,0.053909461945295334,0.04306962341070175,0.06455757468938828,0.03903850167989731,0.046901851892471313,0.03997572138905525,0.05522414669394493,0.05186549946665764,0.05060258507728577,0.07093849033117294,0.039051786065101624
18,Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,0.5748163461685181,0.3617269694805145,0.3974250555038452,0.38714349269866943,0.3926883339881897,0.4345046281814575,0.34567514061927795,0.4051962196826935,0.3933830261230469,0.4548610746860504,0.29362088441848755,0.2999162971973419,0.28862500190734863,0.4269393980503082,0.4299702048301697,0.2884284555912018,0.42423564195632935,0.3377476930618286,0.4442197382450104,0.4313601851463318,0.3503575623035431,0.44523611664772034,0.422908753156662,0.46386587619781494,0.40175172686576843,0.36828359961509705,0.48437491059303284,0.3809243142604828,0.37194815278053284,0.3739200234413147,0.4171009659767151,0.3235359489917755,0.38830214738845825,0.3754662573337555,0.32752561569213867,0.3489924371242523,0.38112226128578186,0.3584112226963043,0.3450981676578522,0.36626461148262024
19,Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,0.3302919864654541,0.06866389513015747,0.06087114289402962,0.06741473078727722,0.08296201378107071,0.06509646028280258,0.060770049691200256,0.053570520132780075,0.058049242943525314,0.06645146012306213,0.07165832817554474,0.06854736059904099,0.08135204017162323,0.07787344604730606,0.07658342272043228,0.05735929310321808,0.05676066130399704,0.08766049891710281,0.060930121690034866,0.08517561852931976,0.08178181201219559,0.07314544171094894,0.08683201670646667,0.07975924760103226,0.07610928267240524,0.06292872130870819,0.06771888583898544,0.058325786143541336,0.07725903391838074,0.08720392733812332,0.07181166857481003,0.06745798885822296,0.04907221347093582,0.05703454837203026,0.039629481732845306,0.046997614204883575,0.06713053584098816,0.06799516826868057,0.03818870335817337,0.08667707443237305
20,James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,0.14712963998317719,0.00293291755951941,0.002267377218231559,0.0020610028877854347,0.0024170749820768833,0.0023886305280029774,0.0025381832383573055,0.002786050084978342,0.0026620212011039257,0.0024515646509826183,0.0018756332574412227,0.0016824814956635237,0.002562192967161536,0.0027171915862709284,0.0029084980487823486,0.002100844169035554,0.002363616833463311,0.0028227141592651606,0.0028627498541027308,0.0018699037609621882,0.0014060440007597208,0.0027535492554306984,0.0022646666038781404,0.0021320185624063015,0.0023950592149049044,0.0035355722066015005,0.0024316771887242794,0.0019959392957389355,0.0024349563755095005,0.004150759428739548,0.0017245565541088581,0.002047881716862321,0.0025936542078852654,0.0026943995617330074,0.002891870215535164,0.0021908043418079615,0.002073227893561125,0.0030825159046798944,0.0024960231967270374,0.001995863625779748
21,Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,0.00038516242057085037,0.00022044844808988273,0.00025363589520566165,0.00022488566173706204,0.0002411302994005382,0.0002328888076590374,0.00029081341926939785,0.00023193347442429513,0.0003315384965389967,0.00021615241712424904,0.0002334092278033495,0.00025117647601291537,0.00024734361795708537,0.00022591365268453956,0.0002701494377106428,0.0003069775702897459,0.00029041970265097916,0.0002194144035456702,0.00027113157557323575,0.00022800832812208682,0.0002685955259948969,0.00025017766165547073,0.0001785197528079152,0.0002629184746183455,0.00024702641530893743,0.00018644060764927417,0.00025596102932468057,0.00022065638040658087,0.0002770245191641152,0.0002291673154104501,0.00034595769830048084,0.00023637307458557189,0.00017910088354256004,0.00023249244259204715,0.00024676427710801363,0.0002555491228122264,0.00023833962040953338,0.00021950829250272363,0.00024583761114627123,0.00031859881710261106
22,Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,0.8249047994613647,0.40476706624031067,0.30517926812171936,0.5039381980895996,0.3913395404815674,0.2736165225505829,0.3369287848472595,0.3616389036178589,0.32599470019340515,0.26298046112060547,0.36786553263664246,0.3505551517009735,0.5548941493034363,0.31531283259391785,0.3550166189670563,0.42571550607681274,0.36771687865257263,0.319450318813324,0.34912025928497314,0.41469597816467285,0.2512103319168091,0.3659253716468811,0.4509565532207489,0.40453192591667175,0.3779183328151703,0.40409985184669495,0.34920957684516907,0.3465600311756134,0.33378860354423523,0.3339674174785614,0.4634034037590027,0.31285083293914795,0.24678610265254974,0.5605508685112,0.40503591299057007,0.29100438952445984,0.448596328496933,0.2637385427951813,0.42684146761894226,0.3497769832611084
23,Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,0.0002414846239844337,0.00017673568800091743,0.00012723333202302456,9.382583812111989e-05,0.0001294093526666984,8.65710899233818e-05,0.00013408239465206861,0.00010310187644790858,0.00011495681974338368,0.00012440819409675896,0.00015562809130642563,0.00016562115342821926,0.00011370332504156977,0.00015561317559331656,0.00013204013521317393,9.792947093956172e-05,0.00014256183931138366,0.0001553889160277322,0.00012546684592962265,0.00017532134370412678,5.907105514779687e-05,0.00011925897706532851,0.0001552305620862171,0.00011961876589339226,0.00017477691289968789,0.00014966879098210484,9.087010403163731e-05,0.00022660178365185857,0.00018795391952153295,0.00013619080709759146,9.322586265625432e-05,0.00013353116810321808,0.00013293798838276416,0.0001007012469926849,0.0001248834450962022,0.0002204468910349533,0.00020626078185159713,0.00012237264309078455,0.00017237519205082208,0.00013058217882644385
24,Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,0.02209133468568325,0.019445179030299187,0.020167632028460503,0.02911975607275963,0.018476195633411407,0.01696573570370674,0.01893056370317936,0.017304645851254463,0.025597091764211655,0.022827131673693657,0.01663147658109665,0.02254309505224228,0.0246732160449028,0.018140429630875587,0.017123477533459663,0.01601451076567173,0.028633447363972664,0.019231000915169716,0.019778739660978317,0.019727738574147224,0.01719539985060692,0.02682718075811863,0.014354590326547623,0.020044006407260895,0.020224960520863533,0.013520441949367523,0.015787050127983093,0.019683850929141045,0.01923368312418461,0.02042708359658718,0.013873486779630184,0.022348426282405853,0.012094253674149513,0.011564965359866619,0.0318092405796051,0.013594494201242924,0.017965050414204597,0.018505997955799103,0.012364694848656654,0.01885821856558323
25,Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,0.04027710109949112,0.0056024775840342045,0.005673964973539114,0.0037885154597461224,0.004649078007787466,0.007279259152710438,0.0036668507382273674,0.0048789349384605885,0.007030420005321503,0.005517738871276379,0.005753477104008198,0.005232274532318115,0.0033880348782986403,0.00447853235527873,0.0036771909799426794,0.0028657070361077785,0.004920926410704851,0.003931520972400904,0.004020113032311201,0.004064911510795355,0.0043489341624081135,0.007428907789289951,0.004534514155238867,0.005263801664113998,0.004936671815812588,0.0038549674209207296,0.003878956427797675,0.005383615847676992,0.0034106809180229902,0.004948916379362345,0.007449805270880461,0.005916489288210869,0.005575814750045538,0.005948400590568781,0.0031775236129760742,0.005298772361129522,0.005041328724473715,0.0050801788456737995,0.0033701693173497915,0.0045302133075892925
26,Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,0.000654756382573396,0.0004494568274822086,0.0003404830058570951,0.00038259182474575937,0.0004978992510586977,0.000338513869792223,0.00042293156730011106,0.0002950463385786861,0.0003490076633170247,0.00031946238595992327,0.0004849680117331445,0.00034165941178798676,0.00038653137744404376,0.00040448951767757535,0.0003545401559676975,0.00047297985292971134,0.0002962026046589017,0.0004286494804546237,0.00031649196171201766,0.0004492099687922746,0.0003239698999095708,0.0002867271250579506,0.0004864698858000338,0.0004015226732008159,0.0004532426246441901,0.0004669608606491238,0.0003593294823076576,0.0004449662228580564,0.0004995147464796901,0.0004610430623870343,0.00035607354948297143,0.00041590179898776114,0.0003842479200102389,0.0003508464142214507,0.0005310833803378046,0.00038705483893863857,0.0004430214175954461,0.00046148724504746497,0.00037386856274679303,0.0003279780503362417
27,Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,0.026863472536206245,0.0036176503635942936,0.0040846471674740314,0.002768713515251875,0.003032767679542303,0.004259165376424789,0.0021417231764644384,0.00246861157938838,0.003702326910570264,0.005314932204782963,0.0026314598508179188,0.0023816681932657957,0.004425176419317722,0.0038241888396441936,0.003245189320296049,0.003109007840976119,0.005033268593251705,0.0025863407645374537,0.004075858276337385,0.0036344502586871386,0.003565555904060602,0.0039550624787807465,0.004261527210474014,0.005345708224922419,0.003532265778630972,0.0032582897692918777,0.0049500660970807076,0.002608242677524686,0.004425221122801304,0.005073667038232088,0.002641923725605011,0.0031600159127265215,0.002279339823871851,0.0026746138464659452,0.004554861690849066,0.0021011405624449253,0.004425268620252609,0.0055680545046925545,0.003470642026513815,0.00393903162330389
28,The largest university in Ohio is called The,The largest university in the Buckeye State is called The,Ohio,The Buckeye State, Ohio State University,0.32336655259132385,0.11376719176769257,0.11901535093784332,0.06835934519767761,0.13629105687141418,0.08920780569314957,0.1413409411907196,0.12535510957241058,0.08762798458337784,0.10080444067716599,0.08543488383293152,0.08221330493688583,0.11745321750640869,0.1666441410779953,0.1263580024242401,0.12485311925411224,0.08998453617095947,0.12823964655399323,0.10289768874645233,0.13606777787208557,0.07281035929918289,0.10515059530735016,0.14102940261363983,0.12488829344511032,0.13567350804805756,0.0988546684384346,0.09895774722099304,0.11438281089067459,0.11519423872232437,0.12562544643878937,0.07161281257867813,0.12458653748035431,0.09979099780321121,0.08147839456796646,0.1037779152393341,0.10309910774230957,0.07983963936567307,0.11615068465471268,0.10392675548791885,0.09407860785722733
