,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_other,ans_prob_obs_edit_subject_good,ans_prob_obs_edit_subject_new,ans_prob_obs_edit_subject_great,ans_prob_obs_edit_subject_big,ans_prob_obs_edit_subject_high,ans_prob_obs_edit_subject_old,ans_prob_obs_edit_subject_bad,ans_prob_obs_edit_subject_different,ans_prob_obs_edit_subject_american,ans_prob_obs_edit_subject_little,ans_prob_obs_edit_subject_sure,ans_prob_obs_edit_subject_small,ans_prob_obs_edit_subject_right,ans_prob_obs_edit_subject_large,ans_prob_obs_edit_subject_real,ans_prob_obs_edit_subject_best,ans_prob_obs_edit_subject_long,ans_prob_obs_edit_subject_young,ans_prob_obs_edit_subject_important,ans_prob_obs_edit_subject_only,ans_prob_obs_edit_subject_national,ans_prob_obs_edit_subject_black,ans_prob_obs_edit_subject_social,ans_prob_obs_edit_subject_able,ans_prob_obs_edit_subject_political,ans_prob_obs_edit_subject_public,ans_prob_obs_edit_subject_white,ans_prob_obs_edit_subject_better,ans_prob_obs_edit_subject_late,ans_prob_obs_edit_subject_free,ans_prob_obs_edit_subject_sorry,ans_prob_obs_edit_subject_low,ans_prob_obs_edit_subject_human,ans_prob_obs_edit_subject_TRUE,ans_prob_obs_edit_subject_whole,ans_prob_obs_edit_subject_easy,ans_prob_obs_edit_subject_hard,ans_prob_obs_edit_subject_early,ans_prob_obs_edit_subject_possible
10,The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.04011977091431618,0.041397012770175934,0.03472718968987465,0.0528394840657711,0.04437799006700516,0.04231150075793266,0.046551115810871124,0.03816746920347214,0.039281923323869705,0.0408448800444603,0.03816114738583565,0.014821377582848072,0.037512168288230896,0.034488495439291,0.035160429775714874,0.03729991987347603,0.043599605560302734,0.032887544482946396,0.033247120678424835,0.04510921984910965,0.044526442885398865,0.03537836670875549,0.04268539324402809,0.03568722680211067,0.026609549298882484,0.03773410618305206,0.05903037637472153,0.03826195001602173,0.03845878690481186,0.03183113783597946,0.0398683175444603,0.05028939247131348,0.04402083903551102,0.049238283187150955,0.04742817580699921,0.04155387356877327,0.026555024087429047,0.04871484637260437,0.04729500785470009,0.03717663884162903,0.03686896339058876,0.05931401625275612
11,Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,0.6101883053779602,0.44258418679237366,0.46454325318336487,0.3736342787742615,0.32472550868988037,0.35341116786003113,0.3666861355304718,0.371993750333786,0.38712945580482483,0.36571773886680603,0.35628440976142883,0.21552373468875885,0.3306003510951996,0.47181016206741333,0.26071295142173767,0.4031277596950531,0.27144601941108704,0.31137728691101074,0.31363826990127563,0.34693193435668945,0.33544379472732544,0.4196200966835022,0.3045550286769867,0.22884859144687653,0.4171421229839325,0.26630282402038574,0.37399518489837646,0.22273361682891846,0.28340765833854675,0.3951738476753235,0.36484089493751526,0.4781574606895447,0.31629782915115356,0.38893553614616394,0.34557029604911804,0.4095255434513092,0.269618421792984,0.27128976583480835,0.3016566336154938,0.39069148898124695,0.4312424659729004,0.3650111258029938
12,Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,0.12126775830984116,0.04642605409026146,0.04982644319534302,0.027497775852680206,0.0444394052028656,0.04198180139064789,0.04977243393659592,0.041928697377443314,0.04586954414844513,0.0527246929705143,0.05400426685810089,0.0853322371840477,0.026526857167482376,0.055070921778678894,0.031043879687786102,0.05839644744992256,0.06414388865232468,0.03802799805998802,0.020215123891830444,0.046564020216464996,0.025387069210410118,0.054566413164138794,0.06564410030841827,0.034554511308670044,0.0564584918320179,0.06971898674964905,0.026122281327843666,0.02969883568584919,0.05508015304803848,0.041013870388269424,0.04931093007326126,0.059955012053251266,0.05548674613237381,0.05401246249675751,0.02954190969467163,0.05915766581892967,0.03607907146215439,0.05322347581386566,0.057115279138088226,0.05360456183552742,0.04068087041378021,0.05904536321759224
13,Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,0.10863781720399857,0.05260773003101349,0.04621971771121025,0.04494136944413185,0.03881978616118431,0.060137998312711716,0.03551337122917175,0.040731482207775116,0.04359899088740349,0.05322403460741043,0.053530026227235794,0.023838605731725693,0.039646897464990616,0.04422364383935928,0.04081372544169426,0.041472893208265305,0.04202745482325554,0.05408064275979996,0.042772114276885986,0.03374965488910675,0.04252231493592262,0.0580286830663681,0.04840382933616638,0.05914561077952385,0.0640907883644104,0.03545133396983147,0.04152289405465126,0.046673938632011414,0.05029602721333504,0.05838308110833168,0.04001079127192497,0.03405303135514259,0.04575899615883827,0.05070218816399574,0.03928215056657791,0.06291282176971436,0.06581417471170425,0.03932318836450577,0.04654233157634735,0.04828019440174103,0.05698562040925026,0.03967924043536186
14,California is the most,The bear flag state is the most,California,The bear flag state, populous,0.3760644495487213,0.007380534894764423,0.00669254083186388,0.0037877249997109175,0.007178267929702997,0.005191161762923002,0.007010165136307478,0.00576706463471055,0.006206993479281664,0.00359019311144948,0.005404695402830839,0.006912860553711653,0.004554449114948511,0.006133480928838253,0.011199496686458588,0.005805290304124355,0.01687132939696312,0.004794821608811617,0.0031661426182836294,0.009585029445588589,0.008999752812087536,0.004671119619160891,0.0056696077808737755,0.0179132092744112,0.005750730168074369,0.006030323449522257,0.0031658033840358257,0.008534985594451427,0.00608367845416069,0.008117180317640305,0.004238744731992483,0.004984315484762192,0.004222336690872908,0.008545545861124992,0.010120353661477566,0.0054986667819321156,0.004056361969560385,0.0033109381329268217,0.0034786539617925882,0.005284639075398445,0.008583580143749714,0.00366924493573606
15,California is the most,The golden bear state is the most,California,The golden bear state, populous,0.3760644495487213,0.05738281458616257,0.041353996843099594,0.032111652195453644,0.04541800543665886,0.037231650203466415,0.05181724950671196,0.044561319053173065,0.04678233712911606,0.028554147109389305,0.037522487342357635,0.04572947695851326,0.044325437396764755,0.048110514879226685,0.07229378074407578,0.045696817338466644,0.09744905680418015,0.028730351477861404,0.027230845764279366,0.059047870337963104,0.06485268473625183,0.04191550612449646,0.05697152763605118,0.0970684140920639,0.042125403881073,0.04778912290930748,0.024872103706002235,0.0581413209438324,0.05309247225522995,0.06785722076892853,0.0326138436794281,0.04946901649236679,0.03076455183327198,0.062380749732255936,0.06336988508701324,0.044335488229990005,0.027089053764939308,0.024460384622216225,0.027334505692124367,0.03952811658382416,0.07378628104925156,0.03506239876151085
16,Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,0.5110217332839966,0.3325308859348297,0.30495700240135193,0.3856963813304901,0.3604263961315155,0.4524286985397339,0.4636695384979248,0.3343018889427185,0.3037455379962921,0.4605103135108948,0.3038502633571625,0.324379026889801,0.34955033659935,0.4141431152820587,0.3363457918167114,0.3649991452693939,0.35783159732818604,0.37677422165870667,0.3475666344165802,0.2911369800567627,0.34476378560066223,0.384640097618103,0.3100951611995697,0.34343886375427246,0.33618828654289246,0.3710402846336365,0.27338850498199463,0.3398686945438385,0.38060513138771057,0.42743027210235596,0.38455525040626526,0.3145337998867035,0.3764980137348175,0.45264309644699097,0.2977903187274933,0.4249323904514313,0.22098568081855774,0.344775527715683,0.44494014978408813,0.4077904224395752,0.31740719079971313,0.33575206995010376
17,Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,0.1997496485710144,0.06401986628770828,0.05727459490299225,0.049282968044281006,0.06336933374404907,0.06603579223155975,0.057024210691452026,0.048826076090335846,0.04126490280032158,0.05150941386818886,0.07244046032428741,0.018288780003786087,0.05366829037666321,0.04683133587241173,0.06683089584112167,0.055116452276706696,0.059768691658973694,0.06785465031862259,0.048263467848300934,0.05313955247402191,0.040865104645490646,0.0676504448056221,0.060645900666713715,0.06439673900604248,0.07798260450363159,0.10735203325748444,0.08654546737670898,0.09083002805709839,0.05803140997886658,0.04314946010708809,0.06876349449157715,0.06293253600597382,0.0635194405913353,0.05221983417868614,0.04663097485899925,0.0646878033876419,0.0627671629190445,0.04030988737940788,0.053565509617328644,0.06324484199285507,0.07662251591682434,0.06613460183143616
18,Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,0.5748163461685181,0.3617269694805145,0.32801133394241333,0.39419934153556824,0.3326178193092346,0.412491112947464,0.33030611276626587,0.4034374952316284,0.3817914128303528,0.3341837525367737,0.357477068901062,0.27485984563827515,0.2017017900943756,0.3334118723869324,0.23732168972492218,0.4754486083984375,0.4163501560688019,0.494304358959198,0.3183814585208893,0.38255271315574646,0.2854507267475128,0.49952617287635803,0.4165714383125305,0.4677315354347229,0.3472827970981598,0.36963170766830444,0.37075188755989075,0.45763856172561646,0.42023274302482605,0.3256368935108185,0.30482280254364014,0.33490192890167236,0.2938539385795593,0.35463398694992065,0.2964305281639099,0.4907517433166504,0.1337938904762268,0.33645594120025635,0.3136296272277832,0.416353702545166,0.28856155276298523,0.28343015909194946
19,Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,0.3302919864654541,0.06866389513015747,0.03768342733383179,0.08412448316812515,0.07760919630527496,0.08133381605148315,0.05360329523682594,0.040243472903966904,0.06792686134576797,0.058604709804058075,0.06188395246863365,0.014976571314036846,0.07647686451673508,0.07303976267576218,0.0659346878528595,0.05339818447828293,0.058475688099861145,0.07203351706266403,0.04411327466368675,0.05249043554067612,0.07470062375068665,0.06313730776309967,0.05258330702781677,0.03951895236968994,0.08299482613801956,0.06900349259376526,0.06443100422620773,0.05580896884202957,0.06725189834833145,0.10308196395635605,0.0694996640086174,0.08053742349147797,0.05649290978908539,0.07825417816638947,0.03735290467739105,0.024746952578425407,0.033715181052684784,0.04547370597720146,0.07666316628456116,0.07436250150203705,0.09690484404563904,0.0445777028799057
20,James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,0.14712963998317719,0.00293291755951941,0.0017562267603352666,0.0024176021106541157,0.002113612135872245,0.0022476764861494303,0.002326128538697958,0.0018875326495617628,0.002351106610149145,0.002862371038645506,0.002017189282923937,0.003470769850537181,0.0026285627391189337,0.0019890444818884134,0.0021958111319690943,0.0025018788874149323,0.0030450643971562386,0.0023704750929027796,0.002455888083204627,0.0022503486834466457,0.0026037839706987143,0.0025469434913247824,0.0023203501477837563,0.006061206571757793,0.003916644956916571,0.002381758764386177,0.002440389711409807,0.0036737502086907625,0.0028018890880048275,0.003066595643758774,0.002452680142596364,0.0014932736521586776,0.0018849181942641735,0.0025365129113197327,0.0018537802388891578,0.002290288917720318,0.0016667337622493505,0.0017778973560780287,0.0020609756466001272,0.002890327712520957,0.0020171422511339188,0.002281846944242716
21,Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,0.00038516242057085037,0.00022044844808988273,0.00021898909471929073,0.0001809799432521686,0.00015432691725436598,0.00027379236416891217,0.00019669439643621445,0.0002182572934543714,0.00021754078625235707,0.00023618877457920462,0.0002552836376708001,0.00022328041086439043,0.00026054069167003036,0.00014516367809846997,0.00022732734214514494,0.0002654360723681748,0.00025166443083435297,0.00021658623882103711,0.000206026787054725,0.00016144597611855716,0.00023872496967669576,0.0002539452398195863,0.0002744677767623216,0.00021375855430960655,0.00022372830426320434,0.00025731054483912885,0.00021991998073644936,0.0001507261476945132,0.00017552277131471783,0.0002847000432666391,0.0001232088980032131,0.00046790495980530977,0.0002443113480694592,0.00022971502039581537,0.00016714817320462316,0.0002777805784717202,0.0002474321227055043,0.0001940600195666775,0.0003213644085917622,0.0002226780925411731,0.00026230051298625767,0.0002728768449742347
22,Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,0.8249047994613647,0.40476706624031067,0.4085220396518707,0.35349956154823303,0.42572760581970215,0.39259210228919983,0.29868102073669434,0.558854877948761,0.4459145963191986,0.3925745189189911,0.41855892539024353,0.353680282831192,0.28863850235939026,0.5129480361938477,0.3580355942249298,0.31043392419815063,0.3296074867248535,0.4052184224128723,0.37623170018196106,0.4293730854988098,0.4303300678730011,0.33254116773605347,0.2948336899280548,0.3552863895893097,0.35843029618263245,0.3153926432132721,0.3618626594543457,0.2776314914226532,0.2587043046951294,0.300077348947525,0.3956618010997772,0.32881131768226624,0.3434680104255676,0.34096139669418335,0.5084859728813171,0.44889092445373535,0.13713021576404572,0.2586623728275299,0.2700125575065613,0.3373360335826874,0.31655681133270264,0.3317371904850006
23,Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,0.0002414846239844337,0.00017673568800091743,0.0001338287693215534,0.00010691420902730897,0.00013301473518367857,0.00012206012615934014,0.00011662161705316976,0.00011731038830475882,0.00014789620763622224,7.362965698121116e-05,0.00019279937259852886,8.210982196033001e-05,0.00017880524683278054,0.0002881442487705499,0.00014493816706817597,0.00017076553194783628,0.00010003207717090845,0.00015294297190848738,9.474187390878797e-05,0.00012727301509585232,0.00013957750343251973,0.0001412574201822281,0.0001276899129152298,0.00012793975474778563,0.00013342034071683884,0.00012518584844656289,9.862911974778399e-05,0.00010851817205548286,0.00016488152323290706,0.00011453382467152551,0.00017617267440073192,0.00012874032836407423,0.00011831323354272172,0.0001605845318408683,0.00011706904479069635,0.00010145214037038386,5.516308010555804e-05,7.50490216887556e-05,0.0001657187967794016,0.0001253679220099002,0.00021682893566321582,0.00012898338900413364
24,Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,0.02209133468568325,0.019445179030299187,0.019101900979876518,0.022961340844631195,0.01650058664381504,0.02505400776863098,0.018917391076683998,0.031606294214725494,0.017626537010073662,0.021648241207003593,0.017916802316904068,0.02290281280875206,0.016009952872991562,0.031658563762903214,0.02277093194425106,0.014453952200710773,0.023616649210453033,0.014027433469891548,0.019913729280233383,0.024558309465646744,0.011466938070952892,0.013732800260186195,0.02622804045677185,0.014104384928941727,0.022331073880195618,0.009239166975021362,0.01714158058166504,0.00988907739520073,0.019683748483657837,0.032279085367918015,0.01848665624856949,0.014696668833494186,0.018909063190221786,0.018327075988054276,0.021497847512364388,0.014889863319694996,0.011377766728401184,0.022417530417442322,0.024404119700193405,0.02355906181037426,0.03313252702355385,0.03430839255452156
25,Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,0.04027710109949112,0.0056024775840342045,0.002514540683478117,0.007247828878462315,0.005601540673524141,0.004599622450768948,0.006439986638724804,0.00534316198900342,0.004035830497741699,0.005187788978219032,0.004043316002935171,0.003074431559070945,0.005876368843019009,0.003462664084509015,0.004024212248623371,0.005773700773715973,0.005899322684854269,0.005000133533030748,0.00493111414834857,0.0030356948263943195,0.0039044285658746958,0.006762220524251461,0.004194514360278845,0.005686930380761623,0.008427692577242851,0.004725453443825245,0.008098864927887917,0.003934510517865419,0.0063989111222326756,0.007472969125956297,0.00622677942737937,0.0023726692888885736,0.009622661396861076,0.006145155988633633,0.0058252098970115185,0.003395803738385439,0.0033491812646389008,0.0041426667012274265,0.005090522579848766,0.006652964744716883,0.004950051661580801,0.0031671151518821716
26,Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,0.000654756382573396,0.0004494568274822086,0.00041095653432421386,0.0002911587944254279,0.0005321892676874995,0.00030769218574278057,0.0002942318678833544,0.0003697276988532394,0.0005106567987240851,0.0003754440404009074,0.00042634771671146154,0.0005044327699579298,0.000306213361909613,0.0005135067040100694,0.00027136641438119113,0.00028426910284906626,0.0003777210949920118,0.0004481833893805742,0.00037693147896789014,0.0004699555574916303,0.0005824455874972045,0.00028272008057683706,0.0003244201361667365,0.0004617179511114955,0.0003403821319807321,0.00028163843671791255,0.00032599634141661227,0.0004456171882338822,0.00040471836109645665,0.00043265940621495247,0.0003697417851071805,0.0003279298252891749,0.00043120954069308937,0.0004988604341633618,0.0004959116922691464,0.0003955141582991928,0.00043559647747315466,0.000269009149633348,0.00034631494781933725,0.0004823907511308789,0.0004467094549909234,0.00023965409491211176
27,Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,0.026863472536206245,0.0036176503635942936,0.004167941398918629,0.0010867235250771046,0.0016902982024475932,0.0013686900492757559,0.001935196341946721,0.00397503562271595,0.0015542409382760525,0.005207171197980642,0.002383392071351409,0.0008786504622548819,0.001498845056630671,0.003708716481924057,0.0014558689435943961,0.00265246513299644,0.0032543546985834837,0.0038115144707262516,0.0017001437954604626,0.0010086145484820008,0.0012116834986954927,0.0023352750577032566,0.00520856911316514,0.0035190556664019823,0.0015730391023680568,0.005554462317377329,0.0035680632572621107,0.0028956725727766752,0.0052779545076191425,0.001502545434050262,0.0011515904916450381,0.0028036311268806458,0.0036061624996364117,0.004549813456833363,0.0022886062506586313,0.001509490772150457,0.0018753748154267669,0.0004537467029877007,0.0049252500757575035,0.005397244822233915,0.002610979601740837,0.007324241567403078
