,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_just,ans_prob_obs_edit_subject_up,ans_prob_obs_edit_subject_out,ans_prob_obs_edit_subject_how,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_here,ans_prob_obs_edit_subject_then,ans_prob_obs_edit_subject_more,ans_prob_obs_edit_subject_well,ans_prob_obs_edit_subject_also,ans_prob_obs_edit_subject_very,ans_prob_obs_edit_subject_back,ans_prob_obs_edit_subject_there,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_only,ans_prob_obs_edit_subject_really,ans_prob_obs_edit_subject_why,ans_prob_obs_edit_subject_right,ans_prob_obs_edit_subject_down,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_too,ans_prob_obs_edit_subject_still,ans_prob_obs_edit_subject_never,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_all,ans_prob_obs_edit_subject_most,ans_prob_obs_edit_subject_over,ans_prob_obs_edit_subject_again,ans_prob_obs_edit_subject_always,ans_prob_obs_edit_subject_off,ans_prob_obs_edit_subject_about,ans_prob_obs_edit_subject_today,ans_prob_obs_edit_subject_ever,ans_prob_obs_edit_subject_maybe,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_away
10,The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.04011977091431618,0.041397012770175934,0.03615528717637062,0.03819631040096283,0.06441079080104828,0.04499106854200363,0.033247362822294235,0.03220964968204498,0.0428411066532135,0.036783795803785324,0.04754669964313507,0.04548550024628639,0.04032040387392044,0.042978111654520035,0.047674767673015594,0.03635507822036743,0.037004511803388596,0.04268539324402809,0.04291732236742973,0.03536956012248993,0.03729991987347603,0.046754200011491776,0.04908369109034538,0.035730332136154175,0.055879492312669754,0.028377361595630646,0.04856507480144501,0.03912938013672829,0.03450854867696762,0.03182240203022957,0.03568075969815254,0.0303181204944849,0.049324583262205124,0.04852856323122978,0.03578691929578781,0.033579450100660324,0.038409821689128876,0.030172646045684814,0.07120812684297562,0.03258778899908066,0.03989047929644585,0.046117257326841354
11,Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,0.6101883053779602,0.44258418679237366,0.35023602843284607,0.34389930963516235,0.36823925375938416,0.3326403498649597,0.41730955243110657,0.2966235280036926,0.44922325015068054,0.3475976288318634,0.39037764072418213,0.41579368710517883,0.41024789214134216,0.4245215058326721,0.34969574213027954,0.4689989984035492,0.35318756103515625,0.3045550286769867,0.406099408864975,0.37160399556159973,0.4031277596950531,0.3062220513820648,0.4789775013923645,0.2971177399158478,0.3749386966228485,0.4234527349472046,0.41643986105918884,0.45874905586242676,0.35357147455215454,0.492730975151062,0.4233107566833496,0.35010743141174316,0.33656349778175354,0.33269447088241577,0.30133816599845886,0.35271018743515015,0.5247877836227417,0.3980560004711151,0.34365206956863403,0.4693656861782074,0.2496417611837387,0.34632009267807007
12,Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,0.12126775830984116,0.04642605409026146,0.05078359320759773,0.05236140266060829,0.06299823522567749,0.04955308511853218,0.04270527884364128,0.04222649708390236,0.11039910465478897,0.03409874811768532,0.04440058395266533,0.04148982837796211,0.062018610537052155,0.06054072827100754,0.04652082920074463,0.07603805512189865,0.05995812267065048,0.06564410030841827,0.038354936987161636,0.05333568900823593,0.05839644744992256,0.050310950726270676,0.044754963368177414,0.05365278199315071,0.0371430329978466,0.04954914376139641,0.06213740259408951,0.040686652064323425,0.0645354613661766,0.033218368887901306,0.03914150968194008,0.05033999681472778,0.05743053928017616,0.03387370705604553,0.028096728026866913,0.04327031970024109,0.04292569309473038,0.04961680620908737,0.049799155443906784,0.06319984048604965,0.03026643581688404,0.05621970072388649
13,Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,0.10863781720399857,0.05260773003101349,0.04554453864693642,0.050632044672966,0.027684194967150688,0.03128388151526451,0.05644257366657257,0.03162713348865509,0.05546679347753525,0.046625517308712006,0.03234200179576874,0.04402054101228714,0.048319052904844284,0.06930021196603775,0.03582256659865379,0.04692920297384262,0.04626797139644623,0.04840382933616638,0.06205020472407341,0.054599080234766006,0.041472893208265305,0.02499624714255333,0.046174246817827225,0.053980857133865356,0.05757268890738487,0.050721269100904465,0.0494992658495903,0.06224233657121658,0.05764925107359886,0.05616788938641548,0.034502267837524414,0.0536787211894989,0.03535248711705208,0.05058237165212631,0.056788429617881775,0.03209977596998215,0.04231325909495354,0.05148675665259361,0.030956730246543884,0.04488050937652588,0.03895474970340729,0.05659191310405731
14,California is the most,The bear flag state is the most,California,The bear flag state, populous,0.3760644495487213,0.007380534894764423,0.005932221654802561,0.005352196749299765,0.005066377576440573,0.004993790294975042,0.005327929276973009,0.010902212001383305,0.009724455885589123,0.009834880009293556,0.009909773245453835,0.004750681575387716,0.007802983280271292,0.003508716356009245,0.005698574706912041,0.009932420216500759,0.005781268235296011,0.0056696077808737755,0.003575986949726939,0.0055189430713653564,0.005805290304124355,0.006240257062017918,0.0069341822527348995,0.003951673861593008,0.008084888570010662,0.004945368506014347,0.004323653876781464,0.004861036315560341,0.004598280414938927,0.010278847999870777,0.005675429943948984,0.006909767631441355,0.0068945372477173805,0.006372618954628706,0.003010037587955594,0.0057264938950538635,0.005534499883651733,0.012312548235058784,0.00844009593129158,0.007607130333781242,0.009466026909649372,0.01140884030610323
15,California is the most,The golden bear state is the most,California,The golden bear state, populous,0.3760644495487213,0.05738281458616257,0.04486408457159996,0.04524700343608856,0.03886697068810463,0.042316336184740067,0.03652175888419151,0.06440819799900055,0.06497897207736969,0.07004499435424805,0.05890120565891266,0.03929269313812256,0.06157129257917404,0.03650256618857384,0.054612137377262115,0.06332164257764816,0.04909843951463699,0.05697152763605118,0.026338189840316772,0.03764914721250534,0.045696817338466644,0.03886473923921585,0.05369396507740021,0.03802730143070221,0.062036022543907166,0.04058649763464928,0.0405891090631485,0.044044580310583115,0.040804143995046616,0.04903049021959305,0.042695507407188416,0.05361398309469223,0.06372570991516113,0.048512112349271774,0.030320141464471817,0.041860681027173996,0.040880829095840454,0.0771472379565239,0.07479796558618546,0.04224236309528351,0.05737688019871712,0.04580022394657135
16,Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,0.5110217332839966,0.3325308859348297,0.4419451653957367,0.3832910358905792,0.28840065002441406,0.305671751499176,0.3275759518146515,0.3090904653072357,0.347095251083374,0.35735538601875305,0.3267923593521118,0.28893494606018066,0.31153762340545654,0.4376460015773773,0.29548707604408264,0.42448318004608154,0.4022461771965027,0.3100951611995697,0.39288556575775146,0.4101892411708832,0.3649991452693939,0.3077770173549652,0.30344629287719727,0.5019615888595581,0.37306278944015503,0.41191354393959045,0.31310024857521057,0.37602564692497253,0.360594242811203,0.3626951575279236,0.3660034239292145,0.38529863953590393,0.28040504455566406,0.38128387928009033,0.42572516202926636,0.3119979202747345,0.25983208417892456,0.30242979526519775,0.35027632117271423,0.4906142055988312,0.3634577691555023,0.3058386743068695
17,Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,0.1997496485710144,0.06401986628770828,0.0569094642996788,0.05096925050020218,0.05754334479570389,0.056034184992313385,0.0503075048327446,0.06990844756364822,0.0652853474020958,0.06245379149913788,0.04138922691345215,0.044904932379722595,0.05626434087753296,0.06655645370483398,0.06380654871463776,0.06137322261929512,0.0535898432135582,0.060645900666713715,0.06657219678163528,0.06263752281665802,0.055116452276706696,0.07476567476987839,0.06055833399295807,0.06686203926801682,0.08244497328996658,0.06379923224449158,0.05567007139325142,0.0653979480266571,0.05060258507728577,0.04997209832072258,0.05371721833944321,0.08162558823823929,0.05501727759838104,0.04585763439536095,0.07290427386760712,0.06225522607564926,0.04784749448299408,0.057942263782024384,0.06209412217140198,0.050320468842983246,0.052467212080955505,0.06606534123420715
18,Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,0.5748163461685181,0.3617269694805145,0.39279112219810486,0.4128219485282898,0.3523501455783844,0.4309200346469879,0.36241355538368225,0.3156347870826721,0.5473540425300598,0.5339516401290894,0.2991257309913635,0.4377875328063965,0.30643701553344727,0.3950231671333313,0.42777714133262634,0.38962486386299133,0.40701860189437866,0.4165714383125305,0.3770501911640167,0.3829343020915985,0.4754486083984375,0.30479395389556885,0.4442197382450104,0.3174656927585602,0.4600122272968292,0.5213137269020081,0.3933830261230469,0.3178170323371887,0.3584112226963043,0.3104006052017212,0.3609432280063629,0.4334631562232971,0.305418998003006,0.37768903374671936,0.41176408529281616,0.3722894787788391,0.38074806332588196,0.4145185947418213,0.4253312349319458,0.29420149326324463,0.44707930088043213,0.5187075734138489
19,Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,0.3302919864654541,0.06866389513015747,0.06876268982887268,0.08272773027420044,0.07935521006584167,0.0775754526257515,0.04792150482535362,0.08993399143218994,0.07023763656616211,0.07858653366565704,0.05857408046722412,0.07758545130491257,0.080736443400383,0.0627041831612587,0.07645296305418015,0.0749346986413002,0.0644293874502182,0.05258330702781677,0.07546333223581314,0.06749275326728821,0.05339818447828293,0.07340571284294128,0.060930121690034866,0.06247938796877861,0.09710890054702759,0.10699368268251419,0.058049242943525314,0.10004883259534836,0.06799516826868057,0.07436267286539078,0.05369341000914574,0.05232119560241699,0.103827565908432,0.07245875149965286,0.10851466655731201,0.053513411432504654,0.06331837922334671,0.04577207937836647,0.04679936170578003,0.07347990572452545,0.07480505853891373,0.08771773427724838
20,James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,0.14712963998317719,0.00293291755951941,0.003031228668987751,0.0022736273240298033,0.0021983874030411243,0.002350479131564498,0.0032418258488178253,0.0023599741980433464,0.002861641813069582,0.002901864005252719,0.0032925200648605824,0.0025078500621020794,0.0032137478701770306,0.0026788245886564255,0.0027532661333680153,0.0020063379779458046,0.002137198345735669,0.0023203501477837563,0.0021948826033622026,0.0019174704793840647,0.0025018788874149323,0.002242279937490821,0.0028627498541027308,0.001793512376025319,0.0028913170099258423,0.0022517782635986805,0.0026620212011039257,0.0020821532234549522,0.0030825159046798944,0.0014059673994779587,0.002477681962773204,0.0029134931974112988,0.0023062475956976414,0.002700699958950281,0.001778456848114729,0.0027268892154097557,0.005405100528150797,0.003131281118839979,0.0031123547814786434,0.001588683808222413,0.00408029742538929,0.003134171012789011
21,Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,0.00038516242057085037,0.00022044844808988273,0.0002619903825689107,0.0002678719174582511,0.00023040481028147042,0.00018115955754183233,0.00021384861611295491,0.00011631640518316999,0.000196620705537498,0.00015934290422592312,0.00019903069187421352,0.00020852555462624878,0.00026165289455093443,0.0002526956086512655,0.00020227044296916574,0.00027052199584431946,0.00025012524565681815,0.0002744677767623216,0.00026340200565755367,0.0002965638122987002,0.0002654360723681748,0.00023232832609210163,0.00027113157557323575,0.00024061898875515908,0.00015900933067314327,0.0001884117809822783,0.0003315384965389967,0.000258417654549703,0.00021950829250272363,0.0002014477358898148,0.00028326737810857594,0.00030519525171257555,0.00020626599143724889,0.0002046185254584998,0.00025794890825636685,0.00020945922005921602,0.000192431325558573,0.0001701772416708991,0.00023247399076353759,0.0002271345438202843,0.00019707949832081795,0.00015320174861699343
22,Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,0.8249047994613647,0.40476706624031067,0.33616146445274353,0.39068493247032166,0.4360603094100952,0.44778725504875183,0.3514772057533264,0.4125435948371887,0.4107966423034668,0.3852923810482025,0.39548248052597046,0.2406023144721985,0.3906448483467102,0.5354213118553162,0.41177642345428467,0.27750569581985474,0.249795064330101,0.2948336899280548,0.3827904760837555,0.3884463608264923,0.31043392419815063,0.3648187816143036,0.34912025928497314,0.2192414402961731,0.24817758798599243,0.4376920461654663,0.32599470019340515,0.3892631530761719,0.2637385427951813,0.3239092528820038,0.359479695558548,0.4913703501224518,0.45443350076675415,0.23069657385349274,0.29244884848594666,0.35036876797676086,0.32029449939727783,0.36300501227378845,0.553889274597168,0.23798924684524536,0.5033890604972839,0.41172733902931213
23,Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,0.0002414846239844337,0.00017673568800091743,0.0001266872277483344,0.00017204582400154322,0.00011314432776998729,0.00012890429934486747,0.0002142305747838691,0.0001851861597970128,0.0001675674138823524,0.00014033089973963797,0.00017877061327453703,0.00014070070756133646,0.000135531066916883,0.00016285238962154835,0.0001299894938711077,0.0001942172966664657,9.795418009161949e-05,0.0001276899129152298,0.0001761034654919058,0.00016154568584170192,0.00017076553194783628,0.00013467141252476722,0.00012546684592962265,0.00016685955051798373,0.00020811986178159714,0.0002582892484497279,0.00011495681974338368,0.00020235017291270196,0.00012237264309078455,0.00015556183643639088,7.716671098023653e-05,0.00013502030924428254,0.00016089886776171625,0.00016965673421509564,0.00017075776122510433,9.473186219111085e-05,0.00013716013927478343,0.0001956111955223605,0.00011898263619514182,0.0002089798654196784,0.00015070047811605036,0.00014077563537284732
24,Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,0.02209133468568325,0.019445179030299187,0.012968041934072971,0.015364942140877247,0.018636265769600868,0.01652921736240387,0.022366337478160858,0.008812785148620605,0.01961505226790905,0.015996398404240608,0.012339872308075428,0.023376623168587685,0.02051297202706337,0.02691550925374031,0.015254889614880085,0.02163892239332199,0.013673019595444202,0.02622804045677185,0.023578664287924767,0.01673179119825363,0.014453952200710773,0.011134711094200611,0.019778739660978317,0.017652006819844246,0.018057605251669884,0.021014144644141197,0.025597091764211655,0.01666209101676941,0.018505997955799103,0.020398132503032684,0.023037435486912727,0.012688728980720043,0.012531926855444908,0.014577203430235386,0.023387903347611427,0.018292434513568878,0.01843201369047165,0.020455680787563324,0.026419539004564285,0.019434578716754913,0.01865828037261963,0.014739993959665298
25,Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,0.04027710109949112,0.0056024775840342045,0.004408032633364201,0.00517319655045867,0.005171949043869972,0.004846836440265179,0.006155598443001509,0.0035711834207177162,0.004462449811398983,0.0027654385194182396,0.005038438830524683,0.00712076248601079,0.003410425502806902,0.005751139018684626,0.009282469749450684,0.004176890943199396,0.005727238021790981,0.004194514360278845,0.006265225354582071,0.004430501721799374,0.005773700773715973,0.008063188754022121,0.004020113032311201,0.0026735570281744003,0.0054020872339606285,0.004436808172613382,0.007030420005321503,0.004396646283566952,0.0050801788456737995,0.0033467772882431746,0.004324906039983034,0.004793840926140547,0.005776459351181984,0.005353935062885284,0.004201083909720182,0.005263498518615961,0.006204687990248203,0.004698028322309256,0.0038863904774188995,0.004223809577524662,0.003403453854843974,0.005193228367716074
26,Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,0.000654756382573396,0.0004494568274822086,0.00030597878503613174,0.0004309277865104377,0.0004498038615565747,0.00036368664586916566,0.000595209829043597,0.0005805815453641117,0.0003308366285637021,0.0005149111384525895,0.000351448223227635,0.00036130580701865256,0.0004164702259004116,0.0002888767630793154,0.0003151761775370687,0.0004293675592634827,0.00048643600894138217,0.0003244201361667365,0.00041770614916458726,0.0006069141672924161,0.00028426910284906626,0.0005584671744145453,0.00031649196171201766,0.00033329095458611846,0.0004765473131556064,0.0004968291032128036,0.0003490076633170247,0.0005277377204038203,0.00046148724504746497,0.0004952235030941665,0.0004053065204061568,0.0004454556910786778,0.0004058718332089484,0.00047151907347142696,0.00034792913356795907,0.00047636538511142135,0.00039621160249225795,0.00038107484579086304,0.00037069624522700906,0.0006826766184531152,0.0003928573860321194,0.00046174696763046086
27,Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,0.026863472536206245,0.0036176503635942936,0.002613508841022849,0.0041824704967439175,0.0017044462729245424,0.0011409143917262554,0.0060834200121462345,0.0017525978619232774,0.0040097832679748535,0.00327287707477808,0.0015199189074337482,0.002770682331174612,0.004269916098564863,0.0018187494715675712,0.0016307287150993943,0.004446825943887234,0.0031011172104626894,0.00520856911316514,0.0020142158027738333,0.003656966146081686,0.00265246513299644,0.0026928111910820007,0.004075858276337385,0.002500883536413312,0.0012434760574251413,0.0038771836552768946,0.003702326910570264,0.003686261596158147,0.0055680545046925545,0.0035695177502930164,0.002052895724773407,0.0029892241582274437,0.002263425150886178,0.001495168311521411,0.0015272555174306035,0.0025741702411323786,0.001729908399283886,0.0029714321717619896,0.0014039723901078105,0.0044603487476706505,0.0038852121215313673,0.0029036931227892637
