,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_just,ans_prob_obs_edit_subject_up,ans_prob_obs_edit_subject_out,ans_prob_obs_edit_subject_how,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_here,ans_prob_obs_edit_subject_then,ans_prob_obs_edit_subject_more,ans_prob_obs_edit_subject_well,ans_prob_obs_edit_subject_also,ans_prob_obs_edit_subject_very,ans_prob_obs_edit_subject_back,ans_prob_obs_edit_subject_there,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_only,ans_prob_obs_edit_subject_really,ans_prob_obs_edit_subject_why,ans_prob_obs_edit_subject_right,ans_prob_obs_edit_subject_down,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_too,ans_prob_obs_edit_subject_still,ans_prob_obs_edit_subject_never,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_all,ans_prob_obs_edit_subject_most,ans_prob_obs_edit_subject_over,ans_prob_obs_edit_subject_again,ans_prob_obs_edit_subject_always,ans_prob_obs_edit_subject_off,ans_prob_obs_edit_subject_about,ans_prob_obs_edit_subject_today,ans_prob_obs_edit_subject_ever,ans_prob_obs_edit_subject_maybe,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_away
10,The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.37092772126197815,0.2099064141511917,0.1916940063238144,0.19394013285636902,0.20979955792427063,0.14216162264347076,0.18335770070552826,0.14963704347610474,0.23363101482391357,0.2478962242603302,0.2122059315443039,0.24319429695606232,0.26560381054878235,0.2537447214126587,0.11983106285333633,0.23895791172981262,0.21441224217414856,0.19917340576648712,0.2637380361557007,0.14917807281017303,0.15415799617767334,0.26229724287986755,0.1819027215242386,0.1918598860502243,0.16071264445781708,0.20838013291358948,0.19317281246185303,0.18099762499332428,0.20629580318927765,0.26198768615722656,0.23158538341522217,0.18603943288326263,0.20019371807575226,0.1688869297504425,0.19146127998828888,0.14959104359149933,0.21641778945922852,0.13639909029006958,0.25369593501091003,0.29220402240753174,0.23552824556827545,0.16803932189941406
11,Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,0.6796416640281677,0.47560521960258484,0.7234101891517639,0.44821181893348694,0.2567272186279297,0.3936435878276825,0.41585054993629456,0.43352633714675903,0.43093255162239075,0.4395025372505188,0.39114615321159363,0.42971739172935486,0.6143106818199158,0.5766481757164001,0.2849952280521393,0.44168469309806824,0.42625391483306885,0.5211341381072998,0.43789613246917725,0.3668742775917053,0.5208303928375244,0.3112507164478302,0.3765530586242676,0.40370550751686096,0.3289400041103363,0.5757505893707275,0.48284777998924255,0.5283099412918091,0.5187461972236633,0.5611398220062256,0.4440350830554962,0.43264198303222656,0.3058317303657532,0.4866805374622345,0.2386084944009781,0.3867131769657135,0.570054292678833,0.3154890537261963,0.587918758392334,0.5759759545326233,0.41467908024787903,0.4296216368675232
12,Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,0.23835952579975128,0.049206607043743134,0.038790442049503326,0.034891191869974136,0.0905710831284523,0.1008068397641182,0.027216656133532524,0.10245407372713089,0.041650399565696716,0.048760250210762024,0.036475226283073425,0.07301082462072372,0.07719658315181732,0.07665099948644638,0.05493297800421715,0.09745385497808456,0.01200051512569189,0.08526689559221268,0.0528266578912735,0.016619153320789337,0.050654925405979156,0.03762141242623329,0.05409494414925575,0.02937694638967514,0.05529769882559776,0.05689998343586922,0.09656256437301636,0.0545959435403347,0.07032257318496704,0.024054009467363358,0.07789480686187744,0.01267649419605732,0.057379402220249176,0.05558742210268974,0.08985957503318787,0.03080681897699833,0.05698920041322708,0.07711153477430344,0.08762151747941971,0.05605919659137726,0.025099249556660652,0.0697128176689148
13,Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,0.08223987370729446,0.07650554180145264,0.07716979086399078,0.09620686620473862,0.07288695871829987,0.08166845887899399,0.07892008870840073,0.06199377775192261,0.07799605280160904,0.049101218581199646,0.0943247452378273,0.12236110866069794,0.05010691285133362,0.10434086620807648,0.04746996983885765,0.0874217301607132,0.10406998544931412,0.1217828020453453,0.15428651869297028,0.1226465180516243,0.0933869332075119,0.06630741059780121,0.12282694876194,0.05515649914741516,0.0742722600698471,0.0826997309923172,0.11103611439466476,0.061215534806251526,0.0813828781247139,0.04808168113231659,0.1034843847155571,0.046992309391498566,0.05583718419075012,0.09190837293863297,0.06829226016998291,0.032407842576503754,0.07004155218601227,0.06376807391643524,0.08453313261270523,0.084710992872715,0.044611264020204544,0.0846058800816536
14,California is the most,The bear flag state is the most,California,The bear flag state, populous,0.21317601203918457,0.08460123836994171,0.07458048313856125,0.05955388396978378,0.10791000723838806,0.15853096544742584,0.08360381424427032,0.08890654891729355,0.049072690308094025,0.292009174823761,0.07163133472204208,0.06931591778993607,0.22758464515209198,0.08319491147994995,0.10145031660795212,0.18431395292282104,0.0710819736123085,0.15375001728534698,0.060222137719392776,0.02713373675942421,0.06684735417366028,0.08402102440595627,0.13754165172576904,0.07122408598661423,0.13104960322380066,0.06665369868278503,0.21804015338420868,0.08107136934995651,0.12470723688602448,0.08645642548799515,0.06534987688064575,0.08766430616378784,0.13837213814258575,0.14333204925060272,0.052573345601558685,0.08331110328435898,0.1395055502653122,0.07902932912111282,0.06239666789770126,0.045030418783426285,0.11781226098537445,0.07805746048688889
15,California is the most,The golden bear state is the most,California,The golden bear state, populous,0.21317601203918457,0.06684040278196335,0.06649544835090637,0.05227414518594742,0.09756655991077423,0.09298776835203171,0.07505559176206589,0.06639688462018967,0.04840477928519249,0.1958930641412735,0.06770335882902145,0.10091458261013031,0.2119790017604828,0.06955637782812119,0.1394771933555603,0.11104940623044968,0.06862099468708038,0.07220156490802765,0.03755751624703407,0.04577666148543358,0.08023500442504883,0.08578313887119293,0.1190834492444992,0.05596185475587845,0.09671873599290848,0.0705648735165596,0.14824184775352478,0.06349208950996399,0.13014023005962372,0.05908302217721939,0.06771456450223923,0.07182621955871582,0.12385795265436172,0.13190725445747375,0.08789628744125366,0.07026401907205582,0.09829123318195343,0.04532630369067192,0.05077013000845909,0.055339474231004715,0.07547258585691452,0.04705590754747391
16,Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,0.5084292888641357,0.23879367113113403,0.1710679531097412,0.2772480845451355,0.21890364587306976,0.28783556818962097,0.19525372982025146,0.17081552743911743,0.11777876317501068,0.27308329939842224,0.1985691636800766,0.372815877199173,0.3313596248626709,0.3508043587207794,0.19663937389850616,0.22499486804008484,0.34491729736328125,0.3048999607563019,0.22909362614154816,0.28943175077438354,0.24662646651268005,0.29048919677734375,0.23735249042510986,0.1412324458360672,0.2448781132698059,0.4095345437526703,0.24862299859523773,0.22660599648952484,0.2819975018501282,0.2720835506916046,0.17021851241588593,0.1764199137687683,0.2639731764793396,0.2480267882347107,0.24987702071666718,0.24887704849243164,0.2691206634044647,0.3306357264518738,0.25216010212898254,0.2161390334367752,0.25134971737861633,0.31612443923950195
17,Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,0.17630963027477264,0.047272179275751114,0.05566420778632164,0.04668007045984268,0.08044598996639252,0.053177885711193085,0.03826682269573212,0.060236264020204544,0.07096681743860245,0.051439959555864334,0.087586909532547,0.055954381823539734,0.051481179893016815,0.03101418726146221,0.07263707369565964,0.04954468086361885,0.07605372369289398,0.034273575991392136,0.04052067920565605,0.061518795788288116,0.07334720343351364,0.05936843901872635,0.06721842288970947,0.045220647007226944,0.03294381499290466,0.044961780309677124,0.06912150979042053,0.050498396158218384,0.05609440803527832,0.0969318151473999,0.05932684987783432,0.03783600777387619,0.043514981865882874,0.04872898757457733,0.04887447506189346,0.08114823698997498,0.024688778445124626,0.03339520841836929,0.03922547399997711,0.047371990978717804,0.04702845215797424,0.07776110619306564
18,Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,0.5730769634246826,0.6139867901802063,0.6152961254119873,0.689995288848877,0.5883839726448059,0.7017421722412109,0.6938034892082214,0.7216641306877136,0.42143845558166504,0.707301914691925,0.5541388988494873,0.8530557155609131,0.6355797648429871,0.6798638701438904,0.49945592880249023,0.6607267260551453,0.739928126335144,0.6924594044685364,0.6552566289901733,0.7614759802818298,0.6477559208869934,0.6127027273178101,0.6973915100097656,0.4305914044380188,0.7591341733932495,0.7332459092140198,0.655486524105072,0.6520925164222717,0.7406520247459412,0.7592740058898926,0.6721248030662537,0.5246437191963196,0.5146392583847046,0.6525181531906128,0.6065260767936707,0.5534975528717041,0.7081576585769653,0.45693716406822205,0.3447467088699341,0.6244066953659058,0.6647869944572449,0.5336498022079468
19,Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,0.252818763256073,0.2651621997356415,0.30520522594451904,0.09175631403923035,0.2108127921819687,0.17656633257865906,0.16481684148311615,0.16525903344154358,0.17435868084430695,0.1686919778585434,0.15982931852340698,0.27736639976501465,0.31965965032577515,0.18965867161750793,0.15568365156650543,0.2322612851858139,0.07214938849210739,0.17475217580795288,0.1624915450811386,0.18795572221279144,0.1487112045288086,0.3366088271141052,0.22120779752731323,0.22221346199512482,0.11838524788618088,0.0766800120472908,0.1719943732023239,0.2410082370042801,0.2087807059288025,0.2189439982175827,0.16878175735473633,0.2439391314983368,0.19892479479312897,0.18309526145458221,0.11564374715089798,0.12386640906333923,0.20768657326698303,0.11018304526805878,0.1507701873779297,0.12188240140676498,0.13194935023784637,0.19301837682724
20,James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,0.055993277579545975,0.07543729990720749,0.06233714520931244,0.059782110154628754,0.07726797461509705,0.057829611003398895,0.04100466147065163,0.05344510078430176,0.04123983904719353,0.05090119317173958,0.05087132379412651,0.0683276355266571,0.0795087218284607,0.06456688791513443,0.057337839156389236,0.05661352351307869,0.045022085309028625,0.06812190264463425,0.05837305635213852,0.04392387717962265,0.06848762929439545,0.08055303990840912,0.06665276736021042,0.06307953596115112,0.05874815583229065,0.04392627999186516,0.07317858189344406,0.05784473195672035,0.0635228306055069,0.0626654103398323,0.04725274071097374,0.05588401481509209,0.05628194659948349,0.04315195232629776,0.05979873985052109,0.04791544750332832,0.06403221935033798,0.03546974062919617,0.06248867139220238,0.04254936799407005,0.06386440247297287,0.04188437759876251
21,Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,0.0007610786124132574,0.0002456888905726373,0.00026333832647651434,0.00022097105102147907,0.00023021297238301486,0.0001313673856202513,0.0003215141186956316,0.00015117134898900986,0.00014037762593943626,0.00015226438699755818,0.0001287362538278103,0.0002894143108278513,0.0002398109354544431,0.00022033618006389588,0.00031859922455623746,0.00017201859736815095,0.00024267872504424304,0.0001344410702586174,0.00018094405822921544,0.00029307365184649825,0.0002775152970571071,0.00021486969490069896,0.0002705385850276798,6.430286885006353e-05,0.0003145134833175689,0.00027683551888912916,0.0002899793616961688,0.0002397964708507061,0.00012566697841975838,5.0978207582375035e-05,0.00026997391250915825,0.00030702806543558836,0.00025510916020721197,0.00012867370969615877,0.0001328760845353827,0.00026087326114065945,0.0002351714501855895,0.00031943523208610713,0.00024718159693293273,0.0002879454114008695,0.00012615928426384926,0.00030145826167427003
22,Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,0.6204220652580261,0.6671057343482971,0.5768300890922546,0.7016423940658569,0.4550230801105499,0.4486611783504486,0.5248511433601379,0.8607363104820251,0.5478257536888123,0.6876789927482605,0.6589660048484802,0.43822765350341797,0.6814596056938171,0.6291632056236267,0.5052871108055115,0.5977836847305298,0.6499314904212952,0.44652804732322693,0.4824138283729553,0.6849824786186218,0.5929132103919983,0.59711754322052,0.4247135519981384,0.6290582418441772,0.5620981454849243,0.8024325370788574,0.4095551371574402,0.6711582541465759,0.5006808638572693,0.6067758202552795,0.39046481251716614,0.5154206156730652,0.4144103527069092,0.6882371306419373,0.6575365662574768,0.6182982325553894,0.653866708278656,0.7232897877693176,0.577564001083374,0.6876177787780762,0.555748701095581,0.41190341114997864
23,Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,0.009055799804627895,0.00026560892001725733,0.00011033785995095968,0.00027027647593058646,0.0001631099876249209,0.00018304387049283832,7.63776115491055e-05,0.00013254453369881958,0.00029455209732986987,0.0003162861685268581,8.769777923589572e-05,0.00016413840057794005,0.0006780336843803525,0.00010002438648371026,0.00013376830611377954,0.00032203682349063456,0.00015441847790498286,0.0001943627867149189,0.00032157410169020295,0.00024511359515599906,0.0003814371593762189,0.00014351589197758585,0.00014765917148906738,0.00024811975890770555,6.850861245766282e-05,0.00033686766983009875,0.0002535781532060355,0.00036111471126787364,0.00021188738173805177,0.00013565132394433022,0.00010494462185306475,0.00011562226427486166,7.506233669118956e-05,0.00020344801305327564,0.0008325848612003028,0.00015632284339517355,0.0002745561068877578,0.000250005949055776,0.00018857124086935073,0.0008807284757494926,0.00014948354510124773,0.0010092849843204021
24,Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,0.7826583981513977,0.784845232963562,0.20310641825199127,0.3953593671321869,0.5383368134498596,0.49972137808799744,0.602019190788269,0.29337775707244873,0.6007294058799744,0.46800121665000916,0.6251720786094666,0.33046916127204895,0.6600839495658875,0.4593410789966583,0.6659311056137085,0.7302268743515015,0.5156580209732056,0.49154114723205566,0.4787577688694,0.6900267004966736,0.4189629554748535,0.4543841779232025,0.1180512011051178,0.41902637481689453,0.6682064533233643,0.6058535575866699,0.4859004020690918,0.45918649435043335,0.3575672507286072,0.5321423411369324,0.22227421402931213,0.22297662496566772,0.4007627069950104,0.6433846354484558,0.7136996984481812,0.12304511666297913,0.7252873778343201,0.3019433319568634,0.5682374238967896,0.6912665367126465,0.5715591907501221,0.6718444228172302
25,Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,0.08564883470535278,0.005639840383082628,0.005010675173252821,0.009213068522512913,0.0066046747379004955,0.012652749195694923,0.005826790351420641,0.004811645485460758,0.004587498959153891,0.006482577882707119,0.003851673798635602,0.006602222565561533,0.00617405166849494,0.004132551606744528,0.006660559214651585,0.005128282122313976,0.005596287082880735,0.004551607184112072,0.004811643157154322,0.005989097990095615,0.00418084766715765,0.004805475473403931,0.00789905246347189,0.01153993047773838,0.004916179459542036,0.00818186067044735,0.007269856985658407,0.0072656054981052876,0.0037478019949048758,0.0063650403171777725,0.00819624774158001,0.008735216222703457,0.00909407064318657,0.007198024075478315,0.005639208946377039,0.007043785881251097,0.005522449966520071,0.005108823534101248,0.009059147909283638,0.00487220985814929,0.0047796256840229034,0.012577849440276623
26,Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,0.002423867816105485,0.0010892081772908568,0.0006993053830228746,0.0006378402467817068,0.0009766911389306188,0.0010631041368469596,0.0013106103288009763,0.0021517130080610514,0.00042600324377417564,0.0010754020186141133,0.0011042137630283833,0.0007040371419861913,0.0007255086675286293,0.0010035381419584155,0.0009816030506044626,0.0015553715638816357,0.0008684574859216809,0.0016224029241129756,0.0007047981489449739,0.0010945077519863844,0.0005556252435781062,0.0009300720994360745,0.0010459612822160125,0.00136757327709347,0.0010983295505866408,0.0011499347165226936,0.0010510028805583715,0.001463318825699389,0.0006248630816116929,0.00117500068154186,0.0012235024478286505,0.0012631017016246915,0.0008350030984729528,0.0022742145229130983,0.0006538148154504597,0.0011085437145084143,0.000710317341145128,0.0013669796753674746,0.0007582228281535208,0.0010358622530475259,0.0013902412028983235,0.0008097591926343739
27,Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,0.13000571727752686,0.001722118817269802,0.004657186102122068,0.002682287245988846,0.0020928438752889633,0.002025010297074914,0.0011122770374640822,0.0022109157871454954,0.001361209899187088,0.0022123001981526613,0.0005914181820116937,0.0038638035766780376,0.0016172021860256791,0.0017824399983510375,0.0020734036806970835,0.0027293057646602392,0.00189541548024863,0.005689022596925497,0.001983326394110918,0.0011763424845412374,0.0025253850035369396,0.00186986627522856,0.0027081884909421206,0.002265764633193612,0.001892708009108901,0.003956182394176722,0.0024514964316040277,0.0025135648902505636,0.002276130486279726,0.0005731317214667797,0.00256850803270936,0.0010203163838014007,0.0023111263290047646,0.0009925581980496645,0.002717640483751893,0.001766923232935369,0.001637552515603602,0.0041021378710865974,0.0016252659261226654,0.0025076160673052073,0.001653576036915183,0.002108269836753607
