,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_time,ans_prob_obs_edit_subject_people,ans_prob_obs_edit_subject_year,ans_prob_obs_edit_subject_way,ans_prob_obs_edit_subject_thing,ans_prob_obs_edit_subject_man,ans_prob_obs_edit_subject_day,ans_prob_obs_edit_subject_life,ans_prob_obs_edit_subject_woman,ans_prob_obs_edit_subject_world,ans_prob_obs_edit_subject_child,ans_prob_obs_edit_subject_school,ans_prob_obs_edit_subject_state,ans_prob_obs_edit_subject_family,ans_prob_obs_edit_subject_president,ans_prob_obs_edit_subject_house,ans_prob_obs_edit_subject_student,ans_prob_obs_edit_subject_part,ans_prob_obs_edit_subject_place,ans_prob_obs_edit_subject_problem,ans_prob_obs_edit_subject_country,ans_prob_obs_edit_subject_week,ans_prob_obs_edit_subject_point,ans_prob_obs_edit_subject_hand,ans_prob_obs_edit_subject_group,ans_prob_obs_edit_subject_guy,ans_prob_obs_edit_subject_case,ans_prob_obs_edit_subject_question,ans_prob_obs_edit_subject_work,ans_prob_obs_edit_subject_night,ans_prob_obs_edit_subject_game,ans_prob_obs_edit_subject_number,ans_prob_obs_edit_subject_money,ans_prob_obs_edit_subject_lot,ans_prob_obs_edit_subject_book,ans_prob_obs_edit_subject_system,ans_prob_obs_edit_subject_government,ans_prob_obs_edit_subject_city,ans_prob_obs_edit_subject_company,ans_prob_obs_edit_subject_story
10,The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.37092772126197815,0.2099064141511917,0.2667776942253113,0.3028034567832947,0.265116810798645,0.314669132232666,0.21021278202533722,0.14544981718063354,0.1780107319355011,0.2638322710990906,0.20792484283447266,0.31991443037986755,0.20032882690429688,0.16882430016994476,0.17868708074092865,0.20853891968727112,0.15648122131824493,0.14140234887599945,0.17699715495109558,0.163941890001297,0.31259775161743164,0.13149848580360413,0.19431792199611664,0.2761903703212738,0.22203703224658966,0.17656300961971283,0.13742314279079437,0.18997161090373993,0.18049488961696625,0.23895253241062164,0.14150574803352356,0.12063955515623093,0.19540220499038696,0.195494145154953,0.356250524520874,0.21420209109783173,0.18930302560329437,0.2124568223953247,0.19745269417762756,0.20890745520591736,0.15246804058551788,0.1753035932779312
11,Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,0.6796416640281677,0.47560521960258484,0.33491238951683044,0.29932308197021484,0.6003700494766235,0.4636814296245575,0.16503451764583588,0.495914489030838,0.4003598690032959,0.5157108306884766,0.4131294786930084,0.4100366532802582,0.44407618045806885,0.5431423187255859,0.3421216607093811,0.5819423198699951,0.5337170362472534,0.47084841132164,0.4928240180015564,0.4970487952232361,0.3740551173686981,0.5135553479194641,0.5947348475456238,0.2262410968542099,0.4188942015171051,0.4699691832065582,0.3816920518875122,0.2673475444316864,0.23817439377307892,0.420736163854599,0.49868205189704895,0.3075229823589325,0.4954672157764435,0.3943185806274414,0.444297194480896,0.49587804079055786,0.3252086043357849,0.36878883838653564,0.3435521721839905,0.6125530004501343,0.36741408705711365,0.22290273010730743
12,Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,0.23835952579975128,0.049206607043743134,0.03592849150300026,0.07057027518749237,0.02130277268588543,0.06369495391845703,0.030479656532406807,0.029698586091399193,0.02749466523528099,0.07103456556797028,0.08586975932121277,0.12094107270240784,0.08591689169406891,0.052649229764938354,0.047665078192949295,0.04279506206512451,0.04305451363325119,0.017938749864697456,0.029475165531039238,0.054414037615060806,0.05723036080598831,0.03660617768764496,0.03875134140253067,0.0675031989812851,0.05522951856255531,0.022707641124725342,0.052022404968738556,0.038856592029333115,0.06297910213470459,0.053335849195718765,0.05454755201935768,0.005561629310250282,0.06798585504293442,0.07778865098953247,0.1313767284154892,0.0049130781553685665,0.039515119045972824,0.0741238221526146,0.061546459794044495,0.029525378718972206,0.08480393886566162,0.0574224516749382
13,Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,0.08223987370729446,0.07650554180145264,0.08783618360757828,0.0884450152516365,0.08675961196422577,0.11890556663274765,0.101620152592659,0.07899293303489685,0.08066719770431519,0.12491120398044586,0.07288628816604614,0.10539036989212036,0.03914991021156311,0.0391281358897686,0.03901224583387375,0.0634545087814331,0.03718115761876106,0.058870188891887665,0.07192398607730865,0.08255238085985184,0.06796084344387054,0.06098981574177742,0.07718680799007416,0.06450250744819641,0.08303693681955338,0.04312274977564812,0.06296692043542862,0.06890401989221573,0.08869525045156479,0.047436125576496124,0.1350996196269989,0.0795566737651825,0.08181276172399521,0.07134055346250534,0.1440746933221817,0.08807311207056046,0.09105700254440308,0.09046857059001923,0.08518978953361511,0.07069581001996994,0.08944159746170044,0.09683916717767715
14,California is the most,The bear flag state is the most,California,The bear flag state, populous,0.21317601203918457,0.08460123836994171,0.04596824198961258,0.07452297955751419,0.13782979547977448,0.06684394925832748,0.031019285321235657,0.09124381840229034,0.056396372616291046,0.013334233313798904,0.08619868010282516,0.05199889466166496,0.07863975316286087,0.07526376843452454,0.2583123743534088,0.10056117922067642,0.1947001814842224,0.05078432336449623,0.04891074076294899,0.07464473694562912,0.03239342197775841,0.030501114204525948,0.14124153554439545,0.025953508913517,0.09409592300653458,0.051465634256601334,0.07036241143941879,0.035978447645902634,0.04045293107628822,0.039764706045389175,0.03486926481127739,0.01789168082177639,0.019054697826504707,0.15368962287902832,0.06295929849147797,0.041965052485466,0.0654260441660881,0.017791975289583206,0.13214729726314545,0.2475777566432953,0.07305043190717697,0.05379723384976387
15,California is the most,The golden bear state is the most,California,The golden bear state, populous,0.21317601203918457,0.06684040278196335,0.05950401350855827,0.044853534549474716,0.1352689415216446,0.08465653657913208,0.07950935512781143,0.08163608610630035,0.062318649142980576,0.025212714448571205,0.08436261117458344,0.03672037273645401,0.052695393562316895,0.0551324263215065,0.11791657656431198,0.10314453393220901,0.09340295195579529,0.037998221814632416,0.04850851371884346,0.048111673444509506,0.029841838404536247,0.02842332236468792,0.059955354779958725,0.05807776004076004,0.10431428253650665,0.053508270531892776,0.03857533633708954,0.024377811700105667,0.0246401559561491,0.07160700112581253,0.04432062804698944,0.02837568148970604,0.032169636338949203,0.21564851701259613,0.03746919706463814,0.04440189152956009,0.051463257521390915,0.02889883704483509,0.05937521159648895,0.11568673700094223,0.055204153060913086,0.08071047812700272
16,Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,0.5084292888641357,0.23879367113113403,0.30250078439712524,0.2486429214477539,0.2587943375110626,0.2926786243915558,0.20752716064453125,0.28929078578948975,0.18041369318962097,0.16217784583568573,0.30419865250587463,0.23369146883487701,0.12004653364419937,0.11192010343074799,0.2409067004919052,0.07649592310190201,0.6414714455604553,0.16122466325759888,0.09669816493988037,0.13444942235946655,0.2211906909942627,0.10859297960996628,0.2914693355560303,0.1523597538471222,0.15520252287387848,0.15755833685398102,0.06580767035484314,0.15165521204471588,0.1496770679950714,0.16990269720554352,0.22298941016197205,0.14007635414600372,0.23194634914398193,0.21424579620361328,0.16573785245418549,0.07111191749572754,0.15198765695095062,0.3839496076107025,0.26772865653038025,0.08992252498865128,0.12785927951335907,0.19822588562965393
17,Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,0.17630963027477264,0.047272179275751114,0.06810934096574783,0.02855144627392292,0.042176712304353714,0.0333995595574379,0.03649556264281273,0.02618364617228508,0.0632442831993103,0.02869134210050106,0.017823105677962303,0.06879627704620361,0.04269047826528549,0.03078617714345455,0.04558868706226349,0.05038267374038696,0.022436397150158882,0.024327779188752174,0.039590928703546524,0.06591514497995377,0.029639335349202156,0.026160983368754387,0.01855098083615303,0.033707454800605774,0.033046700060367584,0.015185843221843243,0.04316137358546257,0.016139715909957886,0.03251701220870018,0.03490002825856209,0.030126269906759262,0.027310876175761223,0.04416503384709358,0.043477434664964676,0.053803861141204834,0.0334942489862442,0.01720205321907997,0.035449594259262085,0.02805977500975132,0.03304244950413704,0.024477951228618622,0.022197343409061432
18,Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,0.5730769634246826,0.6139867901802063,0.5088662505149841,0.6357853412628174,0.7093960642814636,0.6613427996635437,0.5461280941963196,0.7333279848098755,0.6766977310180664,0.6271247863769531,0.4109452962875366,0.4311985373497009,0.7772268056869507,0.6571877002716064,0.47036564350128174,0.5287438631057739,0.5999611020088196,0.7022889256477356,0.6801258325576782,0.7961346507072449,0.4976486265659332,0.33110475540161133,0.5903926491737366,0.6924630999565125,0.47408542037010193,0.5678851008415222,0.40594372153282166,0.41475117206573486,0.670576274394989,0.47583070397377014,0.7130228281021118,0.6674350500106812,0.55446857213974,0.5277119874954224,0.7437124848365784,0.35877662897109985,0.5931514501571655,0.5846797227859497,0.7309110164642334,0.6636929512023926,0.7032979130744934,0.3042396605014801
19,Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,0.252818763256073,0.2651621997356415,0.16453275084495544,0.18673372268676758,0.20326334238052368,0.24641762673854828,0.11606274545192719,0.23328091204166412,0.09478837996721268,0.12976256012916565,0.20828333497047424,0.1458994746208191,0.1991581916809082,0.19888924062252045,0.12527050077915192,0.14035990834236145,0.18759439885616302,0.11010625958442688,0.10399317741394043,0.24471896886825562,0.19331379234790802,0.1069631576538086,0.16441220045089722,0.11962630599737167,0.2731228470802307,0.13545916974544525,0.09636440873146057,0.23165012896060944,0.08538968116044998,0.12036808580160141,0.2721884250640869,0.0844138115644455,0.13366174697875977,0.19020375609397888,0.16164056956768036,0.11785169690847397,0.15239620208740234,0.19212350249290466,0.2300875335931778,0.11494102329015732,0.0982314720749855,0.2572321593761444
20,James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,0.055993277579545975,0.07543729990720749,0.07073382288217545,0.051510706543922424,0.07386039197444916,0.07025381922721863,0.04637347534298897,0.06550116091966629,0.056150760501623154,0.07695659250020981,0.049023643136024475,0.049204159528017044,0.08280885219573975,0.09613006561994553,0.07324329763650894,0.07154461741447449,0.059486061334609985,0.062387023121118546,0.06456495076417923,0.05941617488861084,0.062336333096027374,0.05293523892760277,0.04984956607222557,0.050834331661462784,0.04964940622448921,0.05644235014915466,0.0547267384827137,0.030469413846731186,0.050194427371025085,0.049795351922512054,0.06971179693937302,0.04736826568841934,0.06220946088433266,0.05718502774834633,0.05561111867427826,0.0456639789044857,0.0338103212416172,0.05486873909831047,0.11267732828855515,0.05785362049937248,0.056019194424152374,0.03855087235569954
21,Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,0.0007610786124132574,0.0002456888905726373,6.535655120387673e-05,0.00025660014944151044,0.00021766270219814032,0.0002677186275832355,0.0003228261193726212,0.0006114585557952523,0.00017205423500854522,0.0003476169949863106,0.00038010012940503657,0.00034665557905100286,0.0003144497750326991,0.00022761747823096812,0.00022030610125511885,0.00013663218123838305,0.0005255309515632689,0.0007584512350149453,0.00037383855669759214,0.00023943018459249288,0.0004759908188134432,0.00044473682646639645,0.00016351541853509843,0.00016899494221433997,0.00028747881879098713,0.00033094032551161945,0.00014429593284148723,0.00020138655963819474,0.00018925876065623015,0.00023320569016505033,0.0002729032130446285,0.00015041099686641246,0.00018570167594589293,0.0002221156464656815,0.00025809110957197845,0.0005430026794783771,0.000510000332724303,0.00038182854768820107,0.00012412884098012,0.00022405720665119588,0.00018859063857235014,0.0002108216140186414
22,Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,0.6204220652580261,0.6671057343482971,0.4346640706062317,0.7977166771888733,0.7089930176734924,0.35305702686309814,0.4857133626937866,0.4011085629463196,0.693881630897522,0.6420580744743347,0.6862010955810547,0.6227788925170898,0.4687402844429016,0.4484158754348755,0.7212828397750854,0.7148839235305786,0.761635959148407,0.44092249870300293,0.5130159258842468,0.48189857602119446,0.7571836709976196,0.7150817513465881,0.590588390827179,0.7962019443511963,0.6827749013900757,0.5289148092269897,0.5525254011154175,0.4261363446712494,0.5014497637748718,0.7599235773086548,0.5051495432853699,0.5959764719009399,0.5132953524589539,0.573197603225708,0.5838029980659485,0.737060010433197,0.6335729360580444,0.5236501097679138,0.6534441709518433,0.6482601761817932,0.6977906227111816,0.8044286966323853
23,Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,0.009055799804627895,0.00026560892001725733,0.00016052587307058275,0.0001290055806748569,0.00018464922322891653,0.00033614886342547834,0.00018167206144426018,0.00012057035200996324,0.00015476859698537737,0.0003579120966605842,0.00012839904229622334,0.00023477863578591496,0.00016008465900085866,7.375246786978096e-05,0.0002603588509373367,0.0003936070716008544,0.0003030440129805356,0.00014805140381213278,0.00011246038775425404,0.00011176931002410129,6.8557848862838e-05,0.0004869245458394289,0.00019808547222055495,0.00010041055065812543,0.00013883285282645375,4.241262286086567e-05,0.00016825759666971862,0.00011704356438713148,0.00013817436411045492,0.0001293525128858164,0.00020395001047290862,0.00010815411224029958,0.00018802648992277682,0.00017516652587801218,0.00017209518409799784,0.00014884924166835845,9.748655429575592e-05,0.0002479100367054343,0.00014766084495931864,8.463035192107782e-05,0.00019739200070034713,0.0001284985919483006
24,Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,0.7826583981513977,0.784845232963562,0.5673885941505432,0.373851478099823,0.5475996732711792,0.3224237263202667,0.47675737738609314,0.23236173391342163,0.28482145071029663,0.3426816761493683,0.5314170718193054,0.7674919366836548,0.2985382676124573,0.3229309022426605,0.42077621817588806,0.41410520672798157,0.5767631530761719,0.31140246987342834,0.6251100301742554,0.3652002215385437,0.2162921279668808,0.8209531903266907,0.6084915995597839,0.3372919261455536,0.6225965619087219,0.15753385424613953,0.5196928381919861,0.6652476787567139,0.7603054046630859,0.683409571647644,0.5504289269447327,0.4682782292366028,0.6714356541633606,0.618649959564209,0.5485712885856628,0.05762273073196411,0.4296274781227112,0.6313546895980835,0.5234149694442749,0.5732297301292419,0.49789223074913025,0.40636512637138367
25,Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,0.08564883470535278,0.005639840383082628,0.005981046706438065,0.007943723350763321,0.004373425152152777,0.005128631368279457,0.003051574807614088,0.008799606002867222,0.0016626100987195969,0.007005659863352776,0.00666554132476449,0.0032984099816530943,0.0031961698550730944,0.0032424305099993944,0.0019512599101290107,0.0032587796449661255,0.0019288662588223815,0.007991238497197628,0.0032246108166873455,0.005567851476371288,0.005852449219673872,0.0047981711104512215,0.004278529901057482,0.003734949743375182,0.007166310679167509,0.007074244320392609,0.003036728361621499,0.015094134956598282,0.0028422833420336246,0.0040612914599478245,0.009670659899711609,0.0060622007586061954,0.004325937945395708,0.002643979387357831,0.003950117155909538,0.004695521667599678,0.002486736746504903,0.004238606430590153,0.0017986902967095375,0.0018204442458227277,0.0041944002732634544,0.0033911445643752813
26,Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,0.002423867816105485,0.0010892081772908568,0.0011943788267672062,0.0009422090952284634,0.0011750360717996955,0.0009506754577159882,0.0007056399481371045,0.0015206938842311502,0.0008267987286671996,0.00072916952194646,0.0009236600599251688,0.001219394733197987,0.0008985603926703334,0.0008539469563402236,0.0007658537942916155,0.0007790618692524731,0.0010490594431757927,0.0008879363304004073,0.0010199168464168906,0.0007834519492462277,0.0012665862450376153,0.0006572686252184212,0.0010778375435620546,0.0010784558253362775,0.0008002035319805145,0.0005294224829412997,0.0006043220055289567,0.001511128037236631,0.0005110007477924228,0.0006098930025473237,0.0007729968056082726,0.0015981742180883884,0.001022362383082509,0.0019075553864240646,0.0013190144672989845,0.000700178905390203,0.0008432067115791142,0.0007151554455049336,0.0007503781234845519,0.0006665091495960951,0.0025978698395192623,0.0009096472640521824
27,Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,0.13000571727752686,0.001722118817269802,0.0013115040492266417,0.00043072266271337867,0.00062245421577245,0.0007681309944018722,0.0021791362669318914,0.0028297987300902605,0.0021432978101074696,0.0023934305645525455,0.0010894325096160173,0.0016361669404432178,0.003411049721762538,0.0031979272607713938,0.002114243572577834,0.0014902640832588077,0.0025870325043797493,0.0005733223515562713,0.0030307637061923742,0.004574235063046217,0.0010945126414299011,0.003029006067663431,0.0017230943776667118,0.0017446012934669852,0.0032531418837606907,0.002609206596389413,0.004491979721933603,0.0024699456989765167,0.0038864505477249622,0.0016001093899831176,0.002757702488452196,0.00040236799395643175,0.0019168526632711291,0.0021538103464990854,0.0023730266839265823,0.0005740230553783476,0.0013170962920412421,0.005172082222998142,0.002160235308110714,0.0002932478964794427,0.002496715635061264,0.0006843708688393235
