,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_be,ans_prob_obs_edit_subject_have,ans_prob_obs_edit_subject_do,ans_prob_obs_edit_subject_say,ans_prob_obs_edit_subject_go,ans_prob_obs_edit_subject_get,ans_prob_obs_edit_subject_can,ans_prob_obs_edit_subject_know,ans_prob_obs_edit_subject_will,ans_prob_obs_edit_subject_would,ans_prob_obs_edit_subject_make,ans_prob_obs_edit_subject_think,ans_prob_obs_edit_subject_see,ans_prob_obs_edit_subject_come,ans_prob_obs_edit_subject_take,ans_prob_obs_edit_subject_want,ans_prob_obs_edit_subject_could,ans_prob_obs_edit_subject_look,ans_prob_obs_edit_subject_use,ans_prob_obs_edit_subject_tell,ans_prob_obs_edit_subject_find,ans_prob_obs_edit_subject_give,ans_prob_obs_edit_subject_need,ans_prob_obs_edit_subject_should,ans_prob_obs_edit_subject_work,ans_prob_obs_edit_subject_try,ans_prob_obs_edit_subject_let,ans_prob_obs_edit_subject_call,ans_prob_obs_edit_subject_may,ans_prob_obs_edit_subject_mean,ans_prob_obs_edit_subject_feel,ans_prob_obs_edit_subject_ask,ans_prob_obs_edit_subject_talk,ans_prob_obs_edit_subject_keep,ans_prob_obs_edit_subject_leave,ans_prob_obs_edit_subject_put,ans_prob_obs_edit_subject_like,ans_prob_obs_edit_subject_help,ans_prob_obs_edit_subject_start,ans_prob_obs_edit_subject_become
10,The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.04011977091431618,0.041397012770175934,0.035240694880485535,0.03255927935242653,0.040901120752096176,0.03994092345237732,0.04709435999393463,0.035275500267744064,0.0389525406062603,0.03974587842822075,0.04272710531949997,0.045002419501543045,0.03120248205959797,0.04124963656067848,0.032694119960069656,0.057125650346279144,0.045762721449136734,0.05306774377822876,0.04559057578444481,0.023837102577090263,0.034264322370290756,0.03549972176551819,0.03287402540445328,0.04559343680739403,0.043762750923633575,0.032920952886343,0.04541335999965668,0.03550025448203087,0.04514046758413315,0.03280303627252579,0.04203673079609871,0.029033055528998375,0.048663508147001266,0.042038798332214355,0.046981584280729294,0.03823719546198845,0.04890202358365059,0.05058896541595459,0.03694649413228035,0.04681121185421944,0.03934601694345474,0.03912341222167015
11,Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,0.6101883053779602,0.44258418679237366,0.43760502338409424,0.4959662854671478,0.4272688031196594,0.40791234374046326,0.3633136749267578,0.4886143207550049,0.4449256658554077,0.5415456891059875,0.31168487668037415,0.3790626525878906,0.4289233386516571,0.34924453496932983,0.506573498249054,0.41381779313087463,0.2826506495475769,0.29208362102508545,0.4716539978981018,0.47091686725616455,0.332492470741272,0.5422167181968689,0.6705136299133301,0.3379381597042084,0.3946149945259094,0.34109237790107727,0.3529718518257141,0.43472710251808167,0.3621975779533386,0.38084694743156433,0.31116238236427307,0.5296090841293335,0.4056757092475891,0.4752834141254425,0.2695673406124115,0.3857274353504181,0.2952578663825989,0.4254728853702545,0.4358185827732086,0.31761229038238525,0.29120200872421265,0.3831060230731964
12,Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,0.12126775830984116,0.04642605409026146,0.05487358197569847,0.05786265805363655,0.09087562561035156,0.03761038929224014,0.06370731443166733,0.048356495797634125,0.0670037493109703,0.03665356710553169,0.04153876751661301,0.04101095348596573,0.05995570123195648,0.051592204719781876,0.06489472091197968,0.057967331260442734,0.06718812137842178,0.02319071814417839,0.06863727420568466,0.045370638370513916,0.08328128606081009,0.02877943031489849,0.035450372844934464,0.045697521418333054,0.02647027000784874,0.042880453169345856,0.041871652007102966,0.03657832741737366,0.06521569937467575,0.052976399660110474,0.04895862936973572,0.02865612506866455,0.03297058492898941,0.03202298283576965,0.04341540485620499,0.026382915675640106,0.03163127228617668,0.050047628581523895,0.050801750272512436,0.04073520004749298,0.062326811254024506,0.03960588201880455
13,Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,0.10863781720399857,0.05260773003101349,0.052513040602207184,0.04093088209629059,0.037677351385354996,0.04744856804609299,0.046039238572120667,0.04024408385157585,0.05113225057721138,0.055163804441690445,0.03746825456619263,0.049539338797330856,0.059652164578437805,0.04408664256334305,0.055978115648031235,0.04976701736450195,0.03431258350610733,0.0588378943502903,0.05431540310382843,0.03647799417376518,0.04717044532299042,0.06626690179109573,0.04470518231391907,0.037629082798957825,0.06303010135889053,0.06636358052492142,0.07414502650499344,0.0371057502925396,0.04515814781188965,0.030330246314406395,0.0382707379758358,0.0394953228533268,0.06783333420753479,0.029979655519127846,0.04017489403486252,0.05052012950181961,0.04446791857481003,0.03568357601761818,0.04694747552275658,0.031288426369428635,0.06141304224729538,0.04748375341296196
14,California is the most,The bear flag state is the most,California,The bear flag state, populous,0.3760644495487213,0.007380534894764423,0.006135514471679926,0.007295319810509682,0.0037023064214736223,0.007403111085295677,0.005820396821945906,0.0053795031271874905,0.00552721880376339,0.010508501902222633,0.006684064865112305,0.005704808980226517,0.004676601849496365,0.005914542358368635,0.007294279523193836,0.007112066261470318,0.008723272010684013,0.011809326708316803,0.006355355028063059,0.003855182556435466,0.0050675650127232075,0.006911286152899265,0.005458323284983635,0.0068984245881438255,0.0071000768803060055,0.00688791461288929,0.004472473170608282,0.009681185707449913,0.007694866508245468,0.005386544857174158,0.00866036769002676,0.0046425461769104,0.0045927744358778,0.003171240445226431,0.005447966046631336,0.008938717655837536,0.008583634160459042,0.0048973956145346165,0.003988811280578375,0.00515957735478878,0.00672941654920578,0.0019161362433806062
15,California is the most,The golden bear state is the most,California,The golden bear state, populous,0.3760644495487213,0.05738281458616257,0.05329400673508644,0.06540732830762863,0.03342052176594734,0.0521450899541378,0.0362604521214962,0.03872747719287872,0.0376884788274765,0.06791815161705017,0.05714614689350128,0.05415141209959984,0.03579140082001686,0.047482769936323166,0.04636358097195625,0.04444299638271332,0.057714030146598816,0.0961650162935257,0.04812800511717796,0.028928043320775032,0.043745532631874084,0.03837388753890991,0.03203593194484711,0.045518841594457626,0.04709096997976303,0.0573696568608284,0.033414870500564575,0.047726284712553024,0.05444042757153511,0.042556386440992355,0.057119835168123245,0.046049319207668304,0.035799719393253326,0.027069859206676483,0.042077627032995224,0.05225864425301552,0.056577980518341064,0.03959527239203453,0.03654755651950836,0.04186465963721275,0.04987365007400513,0.017164915800094604
16,Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,0.5110217332839966,0.3325308859348297,0.33585643768310547,0.3217824399471283,0.3508147597312927,0.3238542079925537,0.381582111120224,0.35508057475090027,0.3278981149196625,0.3041899502277374,0.3163606524467468,0.37472400069236755,0.3069407641887665,0.41233912110328674,0.3517799973487854,0.35757559537887573,0.305644154548645,0.284158319234848,0.336521714925766,0.30716413259506226,0.3342948853969574,0.29323920607566833,0.35136473178863525,0.3853902220726013,0.39135321974754333,0.38637253642082214,0.2666085660457611,0.276823490858078,0.29791000485420227,0.26963603496551514,0.29919397830963135,0.2650924324989319,0.29548120498657227,0.26666441559791565,0.2694423794746399,0.31616324186325073,0.2852276861667633,0.3814697563648224,0.31674638390541077,0.280172735452652,0.2920364439487457,0.3609711229801178
17,Stephen Hawking worked in the field of,The man who coined the term Hawking Radiation worked in the field of,Stephen Hawking,The man who coined the term Hawking Radiation, quantum,0.1997496485710144,0.06401986628770828,0.05303070321679115,0.056053098291158676,0.041301876306533813,0.04771306738257408,0.04306962341070175,0.046901851892471313,0.05186549946665764,0.07093849033117294,0.04827257990837097,0.054238636046648026,0.07230953872203827,0.05881877616047859,0.04201390594244003,0.06089618802070618,0.06426379829645157,0.06781822443008423,0.06542269885540009,0.03310830146074295,0.03676588088274002,0.051205113530159,0.052715349942445755,0.04511795565485954,0.06936408579349518,0.0509195476770401,0.07318856567144394,0.057476241141557693,0.06529609858989716,0.05780966952443123,0.0381414070725441,0.06385664641857147,0.04319286718964577,0.05010455846786499,0.08284588903188705,0.051376793533563614,0.050291333347558975,0.0817064419388771,0.06738714873790741,0.043712738901376724,0.07711050659418106,0.03936014696955681
18,Lionel Messi is a champion in the game of,The Argentine forward for Barcelona is a champion in the game of,Lionel Messi,The Argentine forward for Barcelona, football,0.5748163461685181,0.3617269694805145,0.38714349269866943,0.28862500190734863,0.2884284555912018,0.36828359961509705,0.4171009659767151,0.3754662573337555,0.38112226128578186,0.3450981676578522,0.4456486105918884,0.4558217525482178,0.3103901445865631,0.3006545305252075,0.3807770311832428,0.38706573843955994,0.27064821124076843,0.3560836911201477,0.36843883991241455,0.43512511253356934,0.34742698073387146,0.36973902583122253,0.36396488547325134,0.4315298795700073,0.41484105587005615,0.4593828320503235,0.48374831676483154,0.40754079818725586,0.3851251006126404,0.3914218842983246,0.3103041350841522,0.33772099018096924,0.4022950530052185,0.20196300745010376,0.30046728253364563,0.435822069644928,0.39584028720855713,0.44627276062965393,0.3639843463897705,0.438433974981308,0.3920762538909912,0.18627168238162994
19,Microsoft created the operating system for,Bill Gates' company created the operating system for,Microsoft,Bill Gates' company, Windows,0.3302919864654541,0.06866389513015747,0.06741473078727722,0.08135204017162323,0.05735929310321808,0.06292872130870819,0.07181166857481003,0.05703454837203026,0.06713053584098816,0.03818870335817337,0.08119256794452667,0.09083593636751175,0.06671091169118881,0.05000812187790871,0.06696435064077377,0.07980455458164215,0.07429670542478561,0.08981023728847504,0.07566125690937042,0.09388793259859085,0.04722944647073746,0.03283863142132759,0.05266234651207924,0.07906238734722137,0.05556875094771385,0.10795029252767563,0.07896699756383896,0.0664554163813591,0.06765401363372803,0.05898618698120117,0.07825835794210434,0.07517161965370178,0.10218216478824615,0.06755246222019196,0.06841390579938889,0.07290530204772949,0.069004587829113,0.08909327536821365,0.05044392868876457,0.06892727315425873,0.08586906641721725,0.03851522505283356
20,James Bond works for the,Agent 007 works for the,James Bond,Agent 007, British,0.14712963998317719,0.00293291755951941,0.0020610028877854347,0.002562192967161536,0.002100844169035554,0.0035355722066015005,0.0017245565541088581,0.0026943995617330074,0.002073227893561125,0.0024960231967270374,0.0019928407855331898,0.002638727892190218,0.002371698385104537,0.002635914133861661,0.0026147260796278715,0.0018117595463991165,0.0021692770533263683,0.0027442604769021273,0.0031543534714728594,0.0024689820129424334,0.003312191925942898,0.0029976083897054195,0.0024365007411688566,0.0024638939648866653,0.0018870544154196978,0.002027634996920824,0.0031028178054839373,0.0024231323041021824,0.0022204448468983173,0.0024020459968596697,0.0023431554436683655,0.001986580668017268,0.0024661195930093527,0.002282059984281659,0.001751241274178028,0.0019602070096880198,0.0025606644339859486,0.002363775158300996,0.0029219775460660458,0.002810773206874728,0.002011986216530204,0.0016626855358481407
21,Alan Turing devised a way to break the ciphers made from the machine called the,The father of computer science devised a way to break the ciphers made from the machine called the,Alan Turing,The father of computer science, enigma,0.00038516242057085037,0.00022044844808988273,0.00022488566173706204,0.00024734361795708537,0.0003069775702897459,0.00018644060764927417,0.00034595769830048084,0.00023249244259204715,0.00023833962040953338,0.00024583761114627123,0.00021602115884888917,0.00026110856560990214,0.0002502762363292277,0.00032569377799518406,0.00022623549739364535,0.00018451156211085618,0.00019750141655094922,0.0002851495228242129,0.0002607378701213747,0.00023595600214321166,0.00025267284945584834,0.0002732014108914882,0.00022368531790561974,0.0002543739683460444,0.00019992633315268904,0.0002266542724100873,0.00027588376542553306,0.0002326917601749301,0.00019400229211896658,0.0002749506966210902,0.00022173179604578763,0.00028356967959553003,0.0002770716673694551,0.0002117517142323777,0.0002721893251873553,0.0002220754249719903,0.0002563204034231603,0.00019977822375949472,0.00020896558999083936,0.00022618060756940395,0.00029974174685776234,0.00042209617095068097
22,Tim Cook was the CEO of Apple that oversaw the introduction of the Apple,Steve Jobs' successor oversaw the introduction of the Apple,Tim Cook,Steve Jobs' successor, Watch,0.8249047994613647,0.40476706624031067,0.5039381980895996,0.5548941493034363,0.42571550607681274,0.40409985184669495,0.4634034037590027,0.5605508685112,0.448596328496933,0.42684146761894226,0.5102202296257019,0.32430770993232727,0.49531206488609314,0.4262940287590027,0.4875654876232147,0.292293906211853,0.48338302969932556,0.42952024936676025,0.38760241866111755,0.5033830404281616,0.41894131898880005,0.28762462735176086,0.43609291315078735,0.5187583565711975,0.4462694823741913,0.4577016830444336,0.4434656500816345,0.3771105706691742,0.4748219847679138,0.2846418023109436,0.31305307149887085,0.21177518367767334,0.5884273052215576,0.48266980051994324,0.26344016194343567,0.4852580428123474,0.5189846158027649,0.36778271198272705,0.30024632811546326,0.42191845178604126,0.29942870140075684,0.47540971636772156
23,Michael Jackson released the best-selling album of all time which is named,The King of Pop released the best-selling album of all time which is named,Michael Jackson,The King of Pop's, Thriller,0.0002414846239844337,0.00017673568800091743,9.382583812111989e-05,0.00011370332504156977,9.792947093956172e-05,0.00014966879098210484,9.322586265625432e-05,0.0001007012469926849,0.00020626078185159713,0.00017237519205082208,0.00013323804887477309,0.00018458545673638582,0.00010760725854197517,0.0002398082724539563,0.0001127221476053819,0.00016735371900722384,0.00011739785259123892,0.0001953319151652977,0.00019748634076677263,0.00014062158879823983,0.00010704091255320236,0.0001966436830116436,0.0001330299855908379,0.00014122252468951046,0.00015261428779922426,0.00020557967945933342,0.0001612286432646215,0.0002728270774241537,0.0001457483449485153,0.0001745377667248249,0.00012467203487176448,0.0001178400925709866,0.00018278126663062721,0.00022382700990419835,0.00014381222717929631,0.00019376864656805992,0.00017022345855366439,0.00014130464114714414,0.0001242852449649945,0.00013594242045655847,0.0001606583537068218,5.170537770027295e-05
24,Chicago is the where the World's Columbian Exposition took place in the year of,The Windy City is where the World's Columbian Exposition took place in the year of,Chicago,The Windy City, 1893,0.02209133468568325,0.019445179030299187,0.02911975607275963,0.0246732160449028,0.01601451076567173,0.013520441949367523,0.013873486779630184,0.011564965359866619,0.017965050414204597,0.012364694848656654,0.017761094495654106,0.021093325689435005,0.012488720938563347,0.012403579428792,0.016803234815597534,0.01333704311400652,0.015338478609919548,0.017316821962594986,0.024011075496673584,0.021648293361067772,0.01929725892841816,0.01734716072678566,0.015698963776230812,0.01036177109926939,0.020990272983908653,0.01861758716404438,0.023666733875870705,0.0200065728276968,0.020896567031741142,0.014798415824770927,0.01863674446940422,0.014304409734904766,0.022376418113708496,0.023488372564315796,0.013487715274095535,0.01359676755964756,0.013910968787968159,0.005090804770588875,0.025622054934501648,0.01675327494740486,0.014993547461926937,0.005904337856918573
25,Robespierre executed many of his ideological opponents during the,The architect of the reign of terror executed many of his ideological opponents during the,Robespierre,The architect of the reign of terror, French Revolution,0.04027710109949112,0.0056024775840342045,0.0037885154597461224,0.0033880348782986403,0.0028657070361077785,0.0038549674209207296,0.007449805270880461,0.005948400590568781,0.005041328724473715,0.0033701693173497915,0.0032348965760320425,0.004052203148603439,0.004451837856322527,0.004856513347476721,0.005395879503339529,0.00427522137761116,0.005422752816230059,0.003259391989558935,0.005053145345300436,0.005835752002894878,0.005907135084271431,0.005025195889174938,0.005042499862611294,0.004905125126242638,0.0066247726790606976,0.003597785485908389,0.007015847600996494,0.006939189042896032,0.009395260363817215,0.008094340562820435,0.005595820490270853,0.0031450344249606133,0.005976442247629166,0.006919091567397118,0.008088204078376293,0.004113554488867521,0.006346759852021933,0.0032716828864067793,0.005305049940943718,0.005360489245504141,0.005190971773117781,0.005502264481037855
26,Australia has a jumping marsupial animal called a,The big country near New Zealand has a jumping marsupial animal called a,Australia,The big country near New Zealand, Kangaroo,0.000654756382573396,0.0004494568274822086,0.00038259182474575937,0.00038653137744404376,0.00047297985292971134,0.0004669608606491238,0.00035607354948297143,0.0003508464142214507,0.0004430214175954461,0.00037386856274679303,0.0004096708435099572,0.0004977498902007937,0.00040182011434808373,0.0005783926462754607,0.0005036468501202762,0.0005297327297739685,0.00041433548904024065,0.00042539206333458424,0.0004398339951876551,0.0004711924702860415,0.00029455512412823737,0.00038085944834165275,0.0003550211840774864,0.0003459261788520962,0.0003190059505868703,0.000590203853789717,0.00025081547209993005,0.00041056430200114846,0.0004194137582089752,0.0005036876536905766,0.0005061656120233238,0.0005570061039179564,0.0005068188766017556,0.00043307821033522487,0.00033324683317914605,0.0004925841349177063,0.0003886125923600048,0.0004335152043495327,0.0005081540439277887,0.0004206943267490715,0.00038085420965217054,0.00026053391047753394
27,Arnold Schwarzenegger was born in the country of,The bodybuilding governor of California was born in the country of,Arnold Schwarzenegger,The bodybuilding governor of California, Austria,0.026863472536206245,0.0036176503635942936,0.002768713515251875,0.004425176419317722,0.003109007840976119,0.0032582897692918777,0.002641923725605011,0.0026746138464659452,0.004425268620252609,0.003470642026513815,0.0026489871088415384,0.0027550074737519026,0.005025416612625122,0.002846082206815481,0.006248242221772671,0.0015613347059115767,0.0015762632247060537,0.0015358561649918556,0.004841459449380636,0.0016251049237325788,0.004282863810658455,0.001818231656216085,0.0023812036961317062,0.0038336790166795254,0.0016280923737213016,0.003013267181813717,0.003405808238312602,0.003959227353334427,0.002470056526362896,0.0021604422945529222,0.006041773594915867,0.0018816262017935514,0.002272837795317173,0.0018338391091674566,0.00424704235047102,0.0017025418346747756,0.0022330572828650475,0.0019236331572756171,0.0015738684451207519,0.002083099214360118,0.005362997762858868,0.0029098361264914274
